0,1,2,3,4,5,6,7
MahoPa00,Patrick Mahomes,KAN,27,QB,17,17,2022
HerbJu00,Justin Herbert,LAC,24,QB,17,17,2022
BradTo00,Tom Brady,TAM,45,QB,17,17,2022
CousKi00,Kirk Cousins,MIN,34,QB,17,17,2022
BurrJo01,Joe Burrow,CIN,26,QB,16,16,2022
GoffJa00,Jared Goff,DET,28,QB,17,17,2022
AlleJo02,Josh Allen,BUF,26,QB,16,16,2022
SmitGe00,Geno Smith,SEA,32,QB,17,17,2022
LawrTr00,Trevor Lawrence,JAX,23,QB,17,17,2022
HurtJa00,Jalen Hurts,PHI,24,QB,15,15,2022
RodgAa00,Aaron Rodgers,GNB,39,QB,17,17,2022
TagoTu00,Tua Tagovailoa,MIA,24,QB,13,13,2022
WilsRu00,Russell Wilson,DEN,34,QB,15,15,2022
CarrDe02,Derek Carr,LVR,31,QB,15,15,2022
JoneDa05,Daniel Jones,NYG,25,QB,16,16,2022
MillDa02,Davis Mills,HOU,24,QB,15,15,2022
RyanMa00,Matt Ryan,IND,37,QB,12,12,2022
JoneMa05,Mac Jones,NWE,24,QB,14,14,2022
DaltAn00,Andy Dalton,NOR,35,QB,14,14,2022
PresDa01,Dak Prescott,DAL,29,QB,12,12,2022
BrisJa00,Jacoby Brissett,CLE,30,QB,16,11,2022
TannRy00,Ryan Tannehill,TEN,34,QB,12,12,2022
GaroJi00,Jimmy Garoppolo,SFO,31,QB,11,10,2022
PickKe00,Kenny Pickett,PIT,24,QB,13,12,2022
MurrKy00,Kyler Murray,ARI,25,QB,11,11,2022
FielJu00,Justin Fields,CHI,23,QB,15,15,2022
JackLa00,Lamar Jackson,BAL,25,QB,12,12,2022
MariMa01,Marcus Mariota,ATL,29,QB,13,13,2022
MayfBa00,Baker Mayfield,2TM,27,,12,10,2022
2022,,,,,,,
StafMa00,Matthew Stafford,LAR,34,QB,9,9,2022
HeinTa00,Taylor Heinicke,WAS,29,QB,9,9,2022
WentCa00,Carson Wentz,WAS,30,QB,8,7,2022
WilsZa00,Zach Wilson,NYJ,23,QB,9,9,2022
PurdBr00,Brock Purdy,SFO,23,QB,9,5,2022
TrubMi00,Mitchell Trubisky,PIT,28,QB,7,5,2022
WhitMi01,Mike White,NYJ,27,QB,4,4,2022
DarnSa00,Sam Darnold,CAR,25,QB,6,6,2022
WatsDe00,Deshaun Watson,CLE,27,QB,6,6,2022
FlacJo00,Joe Flacco,NYJ,37,QB,5,4,2022
RushCo00,Cooper Rush,DAL,29,QB,9,5,2022
WinsJa00,Jameis Winston,NOR,28,QB,3,3,2022
ZappBa00,Bailey Zappe,NWE,23,QB,4,2,2022
McCoCo00,Colt McCoy,ARI,36,QB,4,3,2022
WalkPh00,P.J. Walker,CAR,27,QB,6,5,2022
RiddDe00,Desmond Ridder,ATL,23,QB,4,4,2022
BridTe00,Teddy Bridgewater,MIA,30,QB,5,2,2022
MinsGa00,Gardner Minshew II,PHI,26,QB,5,2,2022
HuntTy01,Tyler Huntley,BAL,24,QB,6,4,2022
StidJa00,Jarrett Stidham,LVR,26,QB,5,2,2022
EhliSa00,Sam Ehlinger,IND,24,QB,4,3,2022
ThomSk00,Skylar Thompson,MIA,25,QB,7,2,2022
RypiBr00,Brett Rypien,DEN,26,QB,4,2,2022
AlleKy00,Kyle Allen,HOU,26,QB,2,2,2022
McSoTr00,Trace McSorley,ARI,27,QB,6,1,2022
DobbJo00,Joshua Dobbs,TEN,27,QB,2,2,2022
BlouDa00,David Blough,ARI,27,QB,2,2,2022
WolfJo00,John Wolford,LAR,27,QB,3,3,2022
BrowAn06,Anthony Brown,BAL,24,QB,2,1,2022
WillMa12,Malik Willis,TEN,23,QB,8,3,2022
2022,,,,,,,
HillTa00,Taysom Hill,NOR,32,TE,16,8,2022
FoleNi00,Nick Foles,IND,33,QB,3,2,2022
MullNi00,Nick Mullens,MIN,27,QB,4,0,2022
LoveJo03,Jordan Love,GNB,24,QB,4,0,2022
LancTr00,Trey Lance,SFO,22,QB,2,2,2022
SiemTr00,Trevor Siemian,CHI,31,QB,2,1,2022
HoweSa00,Sam Howell,WAS,22,QB,1,1,2022
WebbDa00,Davis Webb,NYG,27,QB,1,1,2022
PerkBr02,Bryce Perkins,LAR,26,QB,5,1,2022
PeteNa00,Nathan Peterman,CHI,28,QB,3,1,2022
DrisJe00,Jeff Driskel,HOU,29,QB,7,2,2022
StreCh00,Chris Streveler,NYJ,27,QB,2,1,2022
EasoJa00,Jacob Eason,CAR,25,QB,1,0,2022
TaylTy00,Tyrod Taylor,NYG,33,QB,3,0,2022
DaniCh00,Chase Daniel,LAC,36,QB,4,0,2022
HoyeBr00,Brian Hoyer,NWE,37,QB,1,1,2022
BeatC.00,C.J. Beathard,JAX,29,QB,4,0,2022
JeffJu00,Justin Jefferson,MIN,23,WR,17,17,2022
McCaCh01,Christian McCaffrey,2TM,26,RB,17,16,2022
BoylTi00,Tim Boyle,CHI,28,QB,1,0,2022
GabbBl00,Blaine Gabbert,TAM,33,QB,1,0,2022
BoydTy00,Tyler Boyd,CIN,28,WR,16,14,2022
TrasKy00,Kyle Trask,TAM,24,QB,1,0,2022
AlleBr00,Brandon Allen,CIN,30,QB,1,0,2022
DixoRi00,Riley Dixon,LAR,29,P,17,0,2022
MannBr01,Braden Mann,NYJ,25,P,17,0,2022
WrigRy00,Ryan Wright,MIN,22,P,17,0,2022
JohnJo05,Josh Johnson,SFO,36,QB,2,0,2022
KeenCa00,Case Keenum,BUF,34,QB,2,0,2022
FoxxJa01,Jack Fox,DET,26,P,17,0,2022
2022,,,,,,,
HarrNa00,Najee Harris,PIT,24,RB,17,17,2022
HenrDe00,Derrick Henry,TEN,28,RB,16,16,2022
HollMa00,Mack Hollins,LVR,29,WR,17,16,2022
LeexAn20,Andy Lee,ARI,40,P,17,0,2022
BerrBr00,Braxton Berrios,NYJ,27,WR,17,2,2022
ClayCh01,Chase Claypool,2TM,24,WR,15,11,2022
BurkRe00,Rex Burkhead,HOU,32,RB,16,0,2022
CoopAm00,Amari Cooper,CLE,28,WR,17,17,2022
DallDe00,DeeJay Dallas,SEA,24,RB,15,0,2022
DorsPh00,Phillip Dorsett,HOU,29,WR,15,4,2022
FourLe00,Leonard Fournette,TAM,27,RB,16,9,2022
HennCh01,Chad Henne,KAN,37,QB,3,0,2022
KirkCh01,Christian Kirk,JAX,26,WR,17,17,2022
KuppCo00,Cooper Kupp,LAR,29,WR,9,9,2022
ProcJa00,James Proche,BAL,26,WR,15,0,2022
TownTo01,Tommy Townsend,KAN,26,P,17,0,2022
WilsGa00,Garrett Wilson,NYJ,22,WR,17,12,2022
2022,,,,,,,
