0,1,2,3,4,5,6,7
HenrDe00,Derrick Henry,TEN,28,RB,16,16,2022
JacoJo01,Josh Jacobs,LVR,24,RB,17,17,2022
ChubNi00,Nick Chubb,CLE,27,RB,17,17,2022
BarkSa00,Saquon Barkley,NYG,25,RB,16,16,2022
HarrNa00,Najee Harris,PIT,24,RB,17,17,2022
CookDa01,Dalvin Cook,MIN,27,RB,17,17,2022
WillJa06,Jamaal Williams,DET,27,RB,17,9,2022
SandMi01,Miles Sanders,PHI,25,RB,17,15,2022
McCaCh01,Christian McCaffrey,2TM,26,RB,17,16,2022
ElliEz00,Ezekiel Elliott,DAL,27,RB,15,14,2022
WalkKe00,Kenneth Walker III,SEA,22,RB,15,11,2022
KamaAl00,Alvin Kamara,NOR,27,RB,15,13,2022
EtieTr00,Travis Etienne,JAX,23,RB,17,12,2022
PierDa01,Dameon Pierce,HOU,22,RB,13,13,2022
JoneAa00,Aaron Jones,GNB,28,RB,17,17,2022
AllgTy00,Tyler Allgeier,ATL,22,RB,16,7,2022
MixoJo00,Joe Mixon,CIN,26,RB,14,14,2022
StevRh00,Rhamondre Stevenson,NWE,24,RB,17,7,2022
RobiBr01,Brian Robinson Jr.,WAS,23,RB,12,9,2022
EkelAu00,Austin Ekeler,LAC,27,RB,17,17,2022
ForeDO00,D'Onta Foreman,CAR,26,RB,17,9,2022
MontDa01,David Montgomery,CHI,25,RB,16,16,2022
PollTo00,Tony Pollard,DAL,25,RB,16,4,2022
TaylJo02,Jonathan Taylor,IND,23,RB,11,11,2022
FourLe00,Leonard Fournette,TAM,27,RB,16,9,2022
AkerCa00,Cam Akers,LAR,23,RB,15,9,2022
DillAJ00,AJ Dillon,GNB,24,RB,17,3,2022
ConnJa00,James Conner,ARI,27,RB,13,13,2022
MostRa00,Raheem Mostert,MIA,30,RB,16,14,2022
2022,,,,,,,
SingDe00,Devin Singletary,BUF,25,RB,16,16,2022
WilsJe01,Jeff Wilson,2TM,27,RB,16,7,2022
MurrLa00,Latavius Murray,2TM,32,RB,13,7,2022
PachIs00,Isiah Pacheco,KAN,23,RB,17,11,2022
HurtJa00,Jalen Hurts,PHI,24,QB,15,15,2022
FielJu00,Justin Fields,CHI,23,QB,15,15,2022
GibsAn00,Antonio Gibson,WAS,24,RB,15,6,2022
PattCo00,Cordarrelle Patterson,ATL,31,RB,13,11,2022
HerbKh00,Khalil Herbert,CHI,24,RB,13,1,2022
WhitRa01,Rachaad White,TAM,23,RB,17,8,2022
AlleJo02,Josh Allen,BUF,26,QB,16,16,2022
HuntKa00,Kareem Hunt,CLE,27,RB,17,0,2022
JoneDa05,Daniel Jones,NYG,25,QB,16,16,2022
CartMi03,Michael Carter,NYJ,23,RB,16,10,2022
JackLa00,Lamar Jackson,BAL,25,QB,12,12,2022
RobiJa00,James Robinson,2TM,24,RB,11,5,2022
DrakKe00,Kenyan Drake,BAL,28,RB,12,5,2022
HarrDa06,Damien Harris,NWE,25,RB,11,9,2022
SwifDA00,D'Andre Swift,DET,23,RB,14,8,2022
HillTa00,Taysom Hill,NOR,32,TE,16,8,2022
HubbCh01,Chuba Hubbard,CAR,23,RB,15,2,2022
PeriSa00,Samaje Perine,CIN,27,RB,16,2,2022
MossZa00,Zack Moss,2TM,25,RB,13,3,2022
DobbJK00,J.K. Dobbins,BAL,24,RB,8,8,2022
GordMe00,Melvin Gordon,DEN,29,RB,10,6,2022
CookJa01,James Cook,BUF,23,RB,16,0,2022
EdwaGu00,Gus Edwards,BAL,27,RB,9,4,2022
KnigZo00,Zonovan Knight,NYJ,21,RB,7,4,2022
MariMa01,Marcus Mariota,ATL,29,QB,13,13,2022
HallBr03,Breece Hall,NYJ,21,RB,7,2,2022
2022,,,,,,,
BenjEn00,Eno Benjamin,3TM,23,,15,3,2022
WarrJa01,Jaylen Warren,PIT,24,RB,16,0,2022
HuntCa02,Caleb Huntley,ATL,24,RB,12,0,2022
BurrJo01,Joe Burrow,CIN,26,QB,16,16,2022
MattAl01,Alexander Mattison,MIN,24,RB,17,0,2022
McKiJe00,Jerick McKinnon,KAN,30,RB,17,0,2022
EdwaCl00,Clyde Edwards-Helaire,KAN,23,RB,10,6,2022
HendDa00,Darrell Henderson,LAR,25,RB,10,7,2022
KellJo01,Joshua Kelley,LAC,25,RB,13,1,2022
EdmoCh00,Chase Edmonds,2TM,26,RB,13,3,2022
JackDe02,Deon Jackson,IND,23,RB,16,2,2022
SmitGe00,Geno Smith,SEA,32,QB,17,17,2022
MurrKy00,Kyler Murray,ARI,25,QB,11,11,2022
IngrMa01,Mark Ingram,NOR,33,RB,10,3,2022
LawrTr00,Trevor Lawrence,JAX,23,QB,17,17,2022
MahoPa00,Patrick Mahomes,KAN,27,QB,17,17,2022
PennRa00,Rashaad Penny,SEA,26,RB,5,5,2022
PickKe00,Kenny Pickett,PIT,24,QB,13,12,2022
WilsRu00,Russell Wilson,DEN,34,QB,15,15,2022
BreiMa00,Matt Breida,NYG,27,RB,17,1,2022
HerbJu00,Justin Herbert,LAC,24,QB,17,17,2022
ScotBo02,Boston Scott,PHI,27,RB,15,2,2022
GainKe00,Kenneth Gainwell,PHI,23,RB,17,0,2022
BrisJa00,Jacoby Brissett,CLE,30,QB,16,11,2022
HillJu00,Justice Hill,BAL,25,RB,15,0,2022
JoneMa05,Mac Jones,NWE,24,QB,14,14,2022
WillJa10,Javonte Williams,DEN,22,RB,4,4,2022
HastJa02,Jamycal Hasty,JAX,26,RB,17,0,2022
MitcEl00,Elijah Mitchell,SFO,24,RB,5,1,2022
PresDa01,Dak Prescott,DAL,29,QB,12,12,2022
2022,,,,,,,
HuntTy01,Tyler Huntley,BAL,24,QB,6,4,2022
MasoJo00,Jordan Mason,SFO,23,RB,16,0,2022
JackJu01,Justin Jackson,DET,26,RB,16,0,2022
OgunDa00,Dare Ogunbowale,HOU,28,RB,17,4,2022
SamuDe00,Deebo Samuel,SFO,26,WR,13,12,2022
FreeRo00,Royce Freeman,HOU,26,RB,4,1,2022
DaviMa02,Malik Davis,DAL,24,RB,12,0,2022
SamuCu00,Curtis Samuel,WAS,26,WR,17,12,2022
WillJo07,Jonathan Williams,WAS,28,RB,13,2,2022
MichSo00,Sony Michel,LAC,27,RB,10,0,2022
WatsDe00,Deshaun Watson,CLE,27,QB,6,6,2022
DallDe00,DeeJay Dallas,SEA,24,RB,15,0,2022
WillKy02,Kyren Williams,LAR,22,RB,10,0,2022
DaviTy03,Tyrion Davis-Price,SFO,22,RB,6,0,2022
RodgAa00,Aaron Rodgers,GNB,39,QB,17,17,2022
TannRy00,Ryan Tannehill,TEN,34,QB,12,12,2022
MillDa02,Davis Mills,HOU,24,QB,15,15,2022
BrigGa00,Gary Brightwell,NYG,23,RB,17,0,2022
CousKi00,Kirk Cousins,MIN,34,QB,17,17,2022
MayfBa00,Baker Mayfield,2TM,27,,12,10,2022
DaltAn00,Andy Dalton,NOR,35,QB,14,14,2022
JohnTy02,Ty Johnson,NYJ,25,RB,17,1,2022
BradTo00,Tom Brady,TAM,45,QB,17,17,2022
GoffJa00,Jared Goff,DET,28,QB,17,17,2022
HeinTa00,Taylor Heinicke,WAS,29,QB,9,9,2022
WilsZa00,Zach Wilson,NYJ,23,QB,9,9,2022
IngrKe01,Keaontay Ingram,ARI,23,RB,12,0,2022
RyanMa00,Matt Ryan,IND,37,QB,12,12,2022
WillMa12,Malik Willis,TEN,23,QB,8,3,2022
BurkRe00,Rex Burkhead,HOU,32,RB,16,0,2022
2022,,,,,,,
DarnSa00,Sam Darnold,CAR,25,QB,6,6,2022
HaskHa00,Hassan Haskins,TEN,23,RB,15,1,2022
BoonMi00,Mike Boone,DEN,27,RB,9,0,2022
CarrDe02,Derek Carr,LVR,31,QB,15,15,2022
EbneTr00,Trestan Ebner,CHI,23,RB,17,0,2022
HineNy00,Nyheim Hines,2TM,26,RB,16,5,2022
BlacRa00,Raheem Blackshear,CAR,23,RB,13,1,2022
GaroJi00,Jimmy Garoppolo,SFO,31,QB,11,10,2022
ReynCr00,Craig Reynolds,DET,26,RB,9,0,2022
TagoTu00,Tua Tagovailoa,MIA,24,QB,13,13,2022
HillDo00,Dontrell Hilliard,TEN,27,RB,12,1,2022
McKiJ.00,J.D. McKissic,WAS,29,RB,8,0,2022
PurdBr00,Brock Purdy,SFO,23,QB,9,5,2022
WentCa00,Carson Wentz,WAS,30,QB,8,7,2022
WillAv02,Avery Williams,ATL,24,RB,17,3,2022
WillDa10,Darrel Williams,ARI,27,RB,6,0,2022
DrisJe00,Jeff Driskel,HOU,29,QB,7,2,2022
SnelBe00,Benny Snell Jr.,PIT,24,RB,17,0,2022
HomeTr00,Travis Homer,SEA,24,RB,10,1,2022
PerkBr02,Bryce Perkins,LAR,26,QB,5,1,2022
TrubMi00,Mitchell Trubisky,PIT,28,QB,7,5,2022
BrowMa03,Malcolm Brown,LAR,29,RB,11,0,2022
HarrKe01,Kevin Harris,NWE,22,RB,5,1,2022
SpilIs00,Isaiah Spiller,LAC,21,RB,6,0,2022
BoldBr00,Brandon Bolden,LVR,32,RB,16,0,2022
EhliSa00,Sam Ehlinger,IND,24,QB,4,3,2022
JoneRo01,Ronald Jones II,KAN,25,RB,6,0,2022
PattJa01,Jaret Patterson,WAS,23,RB,3,0,2022
PoweBr00,Brandon Powell,LAR,27,WR,17,6,2022
VaugKe00,Ke'Shawn Vaughn,TAM,25,RB,15,0,2022
2022,,,,,,,
WhitZa01,Zamir White,LVR,23,RB,14,0,2022
LancTr00,Trey Lance,SFO,22,QB,2,2,2022
MackMa00,Marlon Mack,2TM,26,,8,0,2022
RiddDe00,Desmond Ridder,ATL,23,QB,4,4,2022
ClemCo00,Corey Clement,ARI,28,RB,9,1,2022
LindPh00,Phillip Lindsay,IND,28,RB,3,0,2022
McSoTr00,Trace McSorley,ARI,27,QB,6,1,2022
EvanDa02,Darrynton Evans,CHI,24,RB,6,0,2022
McCoCo00,Colt McCoy,ARI,36,QB,4,3,2022
StidJa00,Jarrett Stidham,LVR,26,QB,5,2,2022
ThomSk00,Skylar Thompson,MIA,25,QB,7,2,2022
RounLa00,Larry Rountree,LAC,23,RB,4,0,2022
SimsSt00,Steven Sims,PIT,25,WR,12,2,2022
StafMa00,Matthew Stafford,LAR,34,QB,9,9,2022
WilkJo01,Jordan Wilkins,IND,28,RB,4,0,2022
AgneJa00,Jamal Agnew,JAX,27,WR,15,0,2022
AhmeSa01,Salvon Ahmed,MIA,24,RB,12,0,2022
ColeTe01,Tevin Coleman,SFO,29,RB,5,0,2022
ConnSn00,Snoop Conner,JAX,22,RB,8,0,2022
DuveDe00,Devin Duvernay,BAL,25,WR,14,13,2022
JohnDa08,David Johnson,NOR,31,RB,5,0,2022
WashDw00,Dwayne Washington,NOR,28,RB,12,0,2022
GaskMy00,Myles Gaskin,MIA,25,RB,4,0,2022
JoneTo04,Tony Jones,2TM,25,RB,6,0,2022
LambCe00,CeeDee Lamb,DAL,23,WR,17,17,2022
MoorD.00,D.J. Moore,CAR,25,WR,17,17,2022
StroPi00,Pierre Strong,NWE,24,RB,15,0,2022
TaylJJ01,J.J. Taylor,NWE,24,RB,1,0,2022
TaylPa01,Patrick Taylor,GNB,24,RB,14,0,2022
ZappBa00,Bailey Zappe,NWE,23,QB,4,2,2022
2022,,,,,,,
AtweTu00,Tutu Atwell,LAR,23,WR,13,4,2022
BerrBr00,Braxton Berrios,NYJ,27,WR,17,2,2022
BrowSp01,Spencer Brown,CAR,24,RB,2,0,2022
ChesJu00,Julius Chestnut,TEN,22,RB,6,0,2022
ClayCh01,Chase Claypool,2TM,24,WR,15,11,2022
JoneVe00,Velus Jones Jr.,CHI,25,WR,12,2,2022
KuppCo00,Cooper Kupp,LAR,29,WR,9,9,2022
McKeIs00,Isaiah McKenzie,BUF,27,WR,15,8,2022
NwanKe00,Kene Nwangwu,MIN,24,RB,17,0,2022
RiveRo01,Ronnie Rivers,LAR,23,RB,8,1,2022
RushCo00,Cooper Rush,DAL,29,QB,9,5,2022
ShenLa00,Laviska Shenault Jr.,CAR,24,WR,13,4,2022
StxxAm00,Amon-Ra St. Brown,DET,23,WR,16,16,2022
StreCh00,Chris Streveler,NYJ,27,QB,2,1,2022
WattDe00,Derek Watt,PIT,30,FB,17,3,2022
BernGi00,Giovani Bernard,TAM,31,RB,8,0,2022
DaviMi01,Mike Davis,BAL,29,RB,8,0,2022
DobbJo00,Joshua Dobbs,TEN,27,QB,2,2,2022
FordJe00,Jerome Ford,CLE,23,RB,13,0,2022
OlszGu00,Gunner Olszewski,PIT,26,WR,16,2,2022
WolfJo00,John Wolford,LAR,27,QB,3,3,2022
DortGr01,Greg Dortch,ARI,24,WR,16,4,2022
HillTy00,Tyreek Hill,MIA,28,WR,17,17,2022
JohnDi01,Diontae Johnson,PIT,26,WR,17,17,2022
JuszKy00,Kyle Juszczyk,SFO,31,FB,16,12,2022
McLaTe00,Terry McLaurin,WAS,27,WR,17,17,2022
MinsGa00,Gardner Minshew II,PHI,26,QB,5,2,2022
RaymKa00,Kalif Raymond,DET,28,WR,17,7,2022
RicaPa00,Patrick Ricard,BAL,28,FB,17,16,2022
ToneKa00,Kadarius Toney,2TM,23,WR,9,4,2022
2022,,,,,,,
WatsCh00,Christian Watson,GNB,23,WR,14,11,2022
AlleKy00,Kyle Allen,HOU,26,QB,2,2,2022
BourKe00,Kendrick Bourne,NWE,27,WR,16,2,2022
ChanTy01,Ty Chandler,MIN,24,RB,3,0,2022
IngoAl01,Alec Ingold,MIA,26,FB,17,14,2022
McFaAn00,Anthony McFarland Jr.,PIT,23,RB,1,0,2022
MoorRo02,Rondale Moore,ARI,22,WR,8,8,2022
RypiBr00,Brett Rypien,DEN,26,QB,4,2,2022
St.BEq00,Equanimeous St. Brown,CHI,26,WR,16,16,2022
WalkPh00,P.J. Walker,CAR,27,QB,6,5,2022
WebbDa00,Davis Webb,NYG,27,QB,1,1,2022
WhitMi01,Mike White,NYJ,27,QB,4,4,2022
WillTr06,Trayveon Williams,CIN,25,RB,8,0,2022
BurtMi00,Michael Burton,KAN,30,FB,17,0,2022
