0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BellLe00,PIT,25,RB,15,15,321,1291,9,71,27,4.0,86.1,3,2017
McCoLe01,BUF,29,RB,16,16,287,1138,6,57,48,4.0,71.1,3,2017
GordMe00,LAC,24,RB,16,16,284,1105,8,61,87,3.9,69.1,1,2017
GurlTo01,LAR,23,RB,15,15,279,1305,13,69,57,4.7,87.0,5,2017
HowaJo00,CHI,23,RB,16,16,276,1122,9,65,53,4.1,70.1,1,2017
HuntKa00,KAN,22,RB,16,16,272,1327,8,63,69,4.9,82.9,1,2017
FourLe00,JAX,22,RB,13,13,268,1040,9,51,90,3.9,80.0,2,2017
GoreFr00,IND,34,RB,16,16,261,961,3,49,21,3.7,60.1,3,2017
AndeC.00,DEN,26,RB,16,16,245,1007,3,47,40,4.1,62.9,1,2017
ElliEz00,DAL,22,RB,10,10,242,983,7,57,30,4.1,98.3,1,2017
HydeCa00,SFO,27,RB,16,16,240,938,8,48,61,3.9,58.6,2,2017
MillLa01,HOU,26,RB,16,13,238,888,3,45,21,3.7,55.5,1,2017
IngrMa01,NOR,28,RB,16,12,230,1124,12,52,72,4.9,70.3,3,2017
MurrLa00,MIN,27,RB,16,11,216,842,8,43,46,3.9,52.6,1,2017
CollAl00,BAL,23,RB,15,12,212,973,6,53,50,4.6,64.9,4,2017
AjayJa00,2TM,24,RB,14,8,208,873,1,0,71,4.2,62.4,3,2017
LyncMa00,OAK,31,RB,15,15,207,891,7,45,51,4.3,59.4,1,2017
CrowIs00,CLE,24,RB,16,16,206,853,2,39,59,4.1,53.3,1,2017
StewJo00,CAR,30,RB,15,10,198,680,6,42,60,3.4,45.3,3,2017
FreeDe00,ATL,25,RB,14,14,196,865,7,55,44,4.4,61.8,4,2017
MurrDe00,TEN,29,RB,15,15,184,659,6,33,75,3.6,43.9,1,2017
LewiDi00,NWE,27,RB,16,8,180,896,6,49,44,5.0,56.0,0,2017
MixoJo00,CIN,21,RB,14,7,178,626,4,39,25,3.5,44.7,3,2017
PoweBi00,NYJ,29,RB,15,10,178,772,5,32,75,4.3,51.5,1,2017
HenrDe00,TEN,23,RB,16,2,176,744,5,40,75,4.2,46.5,1,2017
PeriSa00,WAS,22,RB,16,8,175,603,1,23,30,3.4,37.7,2,2017
BlouLe00,PHI,31,RB,16,11,173,766,2,33,68,4.4,47.9,1,2017
DarkOr00,NYG,25,RB,15,11,171,751,5,35,75,4.4,50.1,1,2017
AbduAm00,DET,24,RB,14,11,165,552,4,26,34,3.3,39.4,2,2017
2017,,,,,,,,,,,,,,
ColeTe01,ATL,24,RB,15,3,156,628,5,27,52,4.0,41.9,1,2017
PeteAd01,2TM,32,RB,10,7,156,529,2,0,27,3.4,52.9,3,2017
AlleJa01,BAL,26,RB,16,0,153,591,4,39,37,3.9,36.9,0,2017
WillJa06,GNB,22,RB,16,7,153,556,4,32,25,3.6,34.8,0,2017
McKiJe00,MIN,25,RB,16,1,150,570,3,24,58,3.8,35.6,3,2017
NewtCa00,CAR,28,QB,16,16,139,754,6,46,69,5.4,47.1,9,2017
MartDo00,TAM,28,RB,11,8,138,406,3,22,27,2.9,36.9,1,2017
DrakKe00,MIA,23,RB,16,6,133,644,3,26,66,4.8,40.3,2,2017
KamaAl00,NOR,22,RB,16,3,120,728,8,42,74,6.1,45.5,1,2017
WillKe05,ARI,26,RB,16,6,120,426,1,21,25,3.6,26.6,0,2017
McCaCh01,CAR,21,RB,16,10,117,435,2,22,40,3.7,27.2,2,2017
MorrAl00,DAL,29,RB,14,5,115,547,1,25,70,4.8,39.1,0,2017
IvorCh00,JAX,29,RB,14,3,112,382,1,18,34,3.4,27.3,2,2017
GallWa00,NYG,23,RB,13,1,111,476,0,24,24,4.3,36.6,3,2017
BarbPe01,TAM,23,RB,16,4,108,423,3,25,34,3.9,26.4,2,2017
BernGi00,CIN,26,RB,16,2,105,458,2,21,25,4.4,28.6,0,2017
BreiMa00,SFO,22,RB,16,0,105,465,2,23,33,4.4,29.1,1,2017
GillMi00,NWE,27,RB,9,2,104,383,5,25,16,3.7,42.6,1,2017
FortMa00,NYJ,32,RB,12,4,103,381,2,13,20,3.7,31.8,1,2017
WilsRu00,SEA,29,QB,16,16,95,586,3,36,31,6.2,36.6,14,2017
MackMa00,IND,21,RB,14,0,93,358,3,20,35,3.8,25.6,1,2017
McGuEl00,NYJ,23,RB,16,2,88,315,1,14,69,3.6,19.7,2,2017
CoheTa00,CHI,22,RB,16,4,87,370,2,19,46,4.3,23.1,3,2017
RiddTh00,DET,26,RB,16,5,84,286,3,12,21,3.4,17.9,1,2017
TaylTy00,BUF,28,QB,15,14,84,427,4,28,32,5.1,28.5,4,2017
JohnDu00,CLE,24,RB,16,0,82,348,4,27,19,4.2,21.8,4,2017
JoneAa00,GNB,23,RB,12,4,81,448,4,23,46,5.5,37.3,0,2017
BookDe00,DEN,25,RB,13,0,79,299,1,13,26,3.8,23.0,2,2017
ForeDO00,HOU,21,RB,10,1,78,327,2,13,39,4.2,32.7,2,2017
KizeDe00,CLE,21,QB,15,15,77,419,5,32,20,5.4,27.9,9,2017
2017,,,,,,,,,,,,,,
ClemCo00,PHI,23,RB,16,0,74,321,4,19,28,4.3,20.1,0,2017
CookDa01,MIN,22,RB,4,4,74,354,2,16,33,4.8,88.5,1,2017
BlueAl00,HOU,26,RB,11,0,71,262,1,10,48,3.7,23.8,0,2017
MontTy01,GNB,24,RB,8,5,71,273,3,13,37,3.8,34.1,0,2017
CharJa00,DEN,31,RB,14,0,69,296,1,17,19,4.3,21.1,2,2017
LacyEd00,SEA,27,RB,9,3,69,179,0,7,19,2.6,19.9,0,2017
DaviMi01,SEA,24,RB,6,6,68,240,0,11,33,3.5,40.0,0,2017
TolbMi00,BUF,32,RB,12,0,66,247,1,9,25,3.7,20.6,2,2017
BurkRe00,NWE,27,RB,10,3,64,264,5,14,31,4.1,26.4,1,2017
RodgJa00,TAM,27,RB,16,4,64,244,1,11,36,3.8,15.3,0,2017
ThomCh03,WAS,27,RB,10,1,64,294,2,11,61,4.6,29.4,3,2017
WentCa00,PHI,25,QB,13,13,64,299,0,27,24,4.7,23.0,9,2017
BrisJa00,IND,25,QB,16,15,63,260,4,15,25,4.1,16.3,8,2017
BrowMa03,LAR,24,RB,11,1,63,246,1,10,20,3.9,22.4,1,2017
KellRo00,WAS,25,RB,7,7,62,194,3,7,21,3.1,27.7,0,2017
MariMa01,TEN,24,QB,15,15,60,312,5,23,34,5.2,20.8,2,2017
SmitAl03,KAN,33,QB,15,15,60,355,1,20,70,5.9,23.7,1,2017
AustTa00,LAR,27,WR,16,9,59,270,1,11,27,4.6,16.9,5,2017
RawlTh00,SEA,24,RB,12,3,58,157,0,6,23,2.7,13.1,1,2017
BortBl00,JAX,25,QB,16,16,57,322,2,20,28,5.6,20.1,9,2017
PresDa01,DAL,24,QB,16,16,57,357,6,29,21,6.3,22.3,4,2017
WashDe00,OAK,24,RB,15,0,57,153,2,10,11,2.7,10.2,2,2017
RichJa01,OAK,24,RB,16,1,56,275,1,10,52,4.9,17.2,8,2017
SmitRo06,DAL,25,RB,15,1,55,232,4,16,45,4.2,15.5,0,2017
CarsCh00,SEA,23,RB,4,3,49,208,0,13,30,4.2,52.0,0,2017
CousKi00,WAS,29,QB,16,16,49,179,4,19,18,3.7,11.2,13,2017
YeldT.00,JAX,24,RB,10,0,49,253,2,7,58,5.2,25.3,2,2017
EkelAu00,LAC,22,RB,16,0,47,260,2,13,35,5.5,16.3,2,2017
SmalWe00,PHI,23,RB,8,3,47,174,1,10,26,3.7,21.8,0,2017
McKiJ.00,SEA,24,WR,13,1,46,187,1,7,30,4.1,14.4,0,2017
2017,,,,,,,,,,,,,,
WillDa05,MIA,25,RB,11,4,46,181,0,7,69,3.9,16.5,0,2017
JohnCh04,ARI,32,RB,4,3,45,114,0,5,11,2.5,28.5,0,2017
VereSh00,NYG,28,RB,16,0,45,164,0,3,17,3.6,10.3,0,2017
WhitJa02,NWE,25,RB,14,4,43,171,0,6,10,4.0,12.2,0,2017
GreeTi00,DET,24,RB,5,0,42,165,2,9,33,3.9,33.0,0,2017
PerkPa00,NYG,23,RB,11,4,41,90,0,3,14,2.2,8.2,0,2017
TrubMi00,CHI,23,QB,12,12,41,248,2,14,46,6.0,20.7,10,2017
KeenCa00,MIN,29,QB,15,14,40,160,1,13,22,4.0,10.7,1,2017
WestTe00,BAL,26,RB,5,4,39,138,2,12,13,3.5,27.6,1,2017
DaltAn00,CIN,30,QB,16,16,38,99,0,10,25,2.6,6.2,4,2017
HillJe01,CIN,25,RB,7,7,37,116,0,6,13,3.1,16.6,1,2017
McCoJo01,NYJ,38,QB,13,13,37,124,5,14,22,3.4,9.5,11,2017
HundBr00,GNB,24,QB,11,9,36,270,2,21,24,7.5,24.5,4,2017
