0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
WillJo07,NOR,24,RB,3,0,3,0,0,0,1,0.0,0.0,0,2018
WillMa04,BAL,24,TE,13,6,3,8,0,2,7,2.7,0.6,0,2018
AndeRo04,NYJ,25,WR,14,9,2,-8,0,0,1,-4.0,-0.6,2,2018
BoydTy00,CIN,24,WR,14,14,2,3,0,0,5,1.5,0.2,0,2018
BradSa00,ARI,31,QB,3,3,2,7,0,1,8,3.5,2.3,3,2018
CallAn00,CLE,21,WR,16,11,2,7,0,1,15,3.5,0.4,1,2018
CassMa00,DET,36,QB,2,0,2,13,0,1,14,6.5,6.5,0,2018
ColeDe00,ARI,28,RB,16,4,2,3,0,0,2,1.5,0.2,0,2018
CoopAm00,2TM,24,WR,15,15,2,20,0,1,11,10.0,1.3,2,2018
DaviJu00,LAR,23,RB,11,0,2,19,0,1,19,9.5,1.7,0,2018
EverGe00,LAR,24,TE,16,0,2,16,0,1,12,8.0,1.0,0,2018
FejeCl00,CIN,25,DB,16,1,2,6,0,1,6,3.0,0.4,1,2018
HallMa02,ATL,25,WR,16,0,2,0,0,0,3,0.0,0.0,0,2018
HarrDw00,OAK,31,WR,15,1,2,12,0,1,13,6.0,0.8,2,2018
HarrMa05,WAS,26,WR,12,7,2,10,0,1,6,5.0,0.8,1,2018
HendDe01,NYJ,26,RB,3,0,2,19,0,0,13,9.5,6.3,1,2018
HumpAd00,TAM,25,WR,16,10,2,11,0,0,7,5.5,0.7,2,2018
JanoAn00,DEN,25,FB,16,7,2,5,0,2,3,2.5,0.3,0,2018
JoneJu02,ATL,29,WR,16,16,2,12,0,1,11,6.0,0.8,2,2018
LewiJo01,DAL,23,DB,15,1,2,12,0,0,7,6.0,0.8,0,2018
LewiTo00,NOR,26,WR,7,3,2,10,0,0,6,5.0,1.4,1,2018
LogaT.00,ARI,24,FB,10,0,2,2,0,0,5,1.0,0.2,0,2018
McClRa00,BUF,22,WR,10,1,2,4,0,0,7,2.0,0.4,2,2018
McNiJe00,IND,23,RB,1,0,2,4,0,1,7,2.0,4.0,0,2018
MichCh00,IND,28,RB,1,0,2,9,0,0,8,4.5,9.0,0,2018
PascZa00,IND,24,WR,16,4,2,10,0,0,8,5.0,0.6,0,2018
ReynJo00,LAR,23,WR,16,8,2,8,0,1,10,4.0,0.5,0,2018
RichPa01,WAS,26,WR,7,4,2,9,0,0,7,4.5,1.3,0,2018
RobeAn00,NYJ,30,WR,16,1,2,20,0,1,18,10.0,1.3,3,2018
SudfNa00,PHI,25,QB,2,0,2,-2,0,0,-1,-1.0,-1.0,0,2018
2018,,,,,,,,,,,,,,
ValdMa00,GNB,24,WR,16,10,2,29,0,2,21,14.5,1.8,0,2018
WestCh01,KAN,27,RB,3,0,2,-1,0,1,1,-0.5,-0.3,0,2018
WillTy00,LAC,26,WR,16,10,2,15,0,1,14,7.5,0.9,2,2018
WrigJa02,CAR,29,WR,16,6,2,39,0,1,34,19.5,2.4,3,2018
AbduAm00,2TM,25,RB,10,0,1,1,0,0,1,1.0,0.1,1,2018
AgneJa00,DET,23,DB,6,0,1,17,0,1,17,17.0,2.8,1,2018
AmenDa00,MIA,33,WR,15,15,1,-2,0,0,-2,-2.0,-0.1,2,2018
AndeDe00,BUF,35,QB,2,2,1,-1,0,0,-1,-1.0,-0.5,3,2018
BatsCa00,TEN,23,WR,11,2,1,1,0,1,1,1.0,0.1,1,2018
BellNi01,DET,29,FB,14,4,1,0,0,0,0,0.0,0.0,0,2018
BohaTo00,JAX,28,FB,16,6,1,0,0,0,0,0.0,0.0,0,2018
BojoCo00,BUF,22,P,8,0,1,0,0,0,0,0.0,0.0,2,2018
BurtTr01,CHI,27,TE,16,16,1,2,0,1,2,2.0,0.1,1,2018
CarrLe00,MIA,24,WR,9,0,1,14,0,1,14,14.0,1.6,0,2018
CartDe02,2TM,25,WR,14,4,1,7,0,0,7,7.0,0.5,5,2018
ChesJe00,WAS,25,WR,12,0,1,-4,0,0,-4,-4.0,-0.3,0,2018
ColeCo00,NYG,24,WR,8,1,1,5,0,0,5,5.0,0.6,0,2018
DickEd00,SEA,31,TE,10,1,1,9,0,1,9,9.0,0.9,0,2018
DickMi00,SEA,22,K,16,0,1,9,0,1,9,9.0,0.6,0,2018
DiMaPa00,BUF,29,FB,16,5,1,9,0,1,9,9.0,0.6,0,2018
DixoRi00,NYG,25,P,16,0,1,14,0,1,14,14.0,0.9,0,2018
ElliBr00,2TM,27,WR,7,3,1,2,0,0,2,2.0,0.3,1,2018
EnunQu00,NYJ,26,WR,11,10,1,0,0,0,0,0.0,0.0,2,2018
GollKe00,DET,25,WR,15,13,1,8,0,0,8,8.0,0.5,1,2018
GranJa00,MIA,26,WR,10,2,1,5,0,0,5,5.0,0.5,0,2018
GreeRa02,GNB,23,DB,8,0,1,26,0,0,26,26.0,3.3,0,2018
HeatJe00,DAL,27,SS,16,16,1,3,0,1,3,3.0,0.2,0,2018
HekkJo00,LAR,28,P,16,0,1,3,0,0,3,3.0,0.2,0,2018
HennCh01,KAN,33,QB,1,0,1,3,0,0,3,3.0,3.0,0,2018
HeywDa00,PIT,31,WR,14,2,1,-7,0,0,-7,-7.0,-0.5,0,2018
2018,,,,,,,,,,,,,,
HickAk00,CHI,29,LDE,16,16,1,1,1,1,1,1.0,0.1,0,2018
HopkDe00,HOU,26,WR,16,16,1,-7,0,0,-7,-7.0,-0.4,2,2018
HursHa00,BAL,25,TE,12,0,1,0,0,0,0,0.0,0.0,0,2018
IngrMe00,LAC,29,RDE,16,16,1,0,0,0,0,0.0,0.0,1,2018
JennDa00,TEN,26,WR,16,0,1,2,0,0,2,2.0,0.1,0,2018
JohnMa07,IND,24,WR,5,0,1,-2,0,0,-2,-2.0,-0.4,0,2018
JoneJJ00,2TM,26,WR,4,0,1,0,0,0,0,0.0,0.0,2,2018
JoneZa00,BUF,23,WR,16,15,1,0,0,0,0,0.0,0.0,1,2018
KellCh00,DEN,24,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,0,2018
KittGe00,SFO,25,TE,16,16,1,10,0,1,10,10.0,0.6,0,2018
LaulKy00,NYG,23,QB,2,0,1,-2,0,0,-2,-2.0,-1.0,0,2018
MileRo00,NYJ,30,DB,8,1,1,4,0,1,4,4.0,0.5,1,2018
MoorDa03,SEA,23,WR,16,7,1,5,0,0,5,5.0,0.3,2,2018
NelsJo00,OAK,33,WR,15,14,1,-2,0,0,-2,-2.0,-0.1,1,2018
NixxRo01,PIT,26,RB,16,0,1,4,0,0,4,4.0,0.3,0,2018
PaulNi00,JAX,29,WR,6,1,1,-3,0,0,-3,-3.0,-0.5,0,2018
PettDa00,SFO,23,WR,12,7,1,-2,0,0,-2,-2.0,-0.2,2,2018
PoweBr00,DET,23,WR,6,1,1,4,0,0,4,4.0,0.7,0,2018
ProsC.00,SEA,24,RB,5,0,1,-3,0,0,-3,-3.0,-0.6,0,2018
PryoTe00,2TM,29,,8,1,1,-1,0,0,0,-1.0,-0.1,0,2018
QuinTr00,WAS,23,WR,3,2,1,0,0,0,0,0.0,0.0,0,2018
RobiAl02,CHI,25,WR,13,12,1,9,0,0,9,9.0,0.7,1,2018
RogeCh02,IND,24,WR,16,10,1,-4,0,0,-4,-4.0,-0.3,1,2018
RogeEl00,PIT,26,WR,3,3,1,-4,0,0,-4,-4.0,-1.3,1,2018
SancMa00,WAS,32,QB,2,1,1,8,0,1,8,8.0,4.0,1,2018
SchaMa00,ATL,37,QB,3,0,1,0,0,0,0,0.0,0.0,1,2018
SharTa00,TEN,24,WR,16,13,1,16,0,1,16,16.0,1.0,0,2018
SherAn00,KAN,30,RB,16,1,1,2,0,1,2,2.0,0.1,0,2018
SmitKe03,OAK,26,FB,16,3,1,0,0,0,0,0.0,0.0,0,2018
SmitJu00,PIT,22,WR,16,13,1,13,0,1,13,13.0,0.8,1,2018
2018,,,,,,,,,,,,,,
SneaWi00,BAL,26,WR,16,10,1,13,0,1,13,13.0,0.8,0,2018
St.BEq00,GNB,22,WR,12,7,1,5,0,0,5,5.0,0.4,0,2018
StocLu00,TEN,30,TE,16,11,1,0,0,0,0,0.0,0.0,0,2018
StreRo00,CLE,30,WR,3,0,1,-11,0,0,-11,-11.0,-3.7,0,2018
SuttCo00,DEN,23,WR,16,9,1,-1,0,0,-1,-1.0,-0.1,0,2018
ThomDe05,KAN,25,RB,5,0,1,6,0,0,6,6.0,1.2,1,2018
TownJo01,OAK,23,P,16,0,1,42,0,1,42,42.0,2.6,0,2018
TurnDe01,BAL,23,RB,4,0,1,4,0,0,4,4.0,1.0,0,2018
WallDa01,OAK,26,WR,4,0,1,21,0,1,21,21.0,5.3,0,2018
WeedBr00,HOU,35,QB,1,0,1,-1,0,0,-1,-1.0,-1.0,0,2018
WillCh05,ARI,24,WR,10,7,1,9,0,0,9,9.0,0.9,0,2018
WilsTa00,DET,28,DB,15,3,1,7,0,1,7,7.0,0.5,0,2018
2018,,,,,,,,,,,,,,
