0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HogaCh00,CAR,32,WR,7,1,15,8,53.3%,67,8.4,0,3,13,4.5,1.1,9.6,0,2019
HorsJe00,CHI,22,WR,6,1,10,8,80.0%,87,10.9,1,4,20,8.7,1.3,14.5,1,2019
PennRa00,SEA,23,RB,10,0,11,8,72.7%,83,10.4,1,3,30,7.5,0.8,8.3,1,2019
RicaPa00,BAL,25,FB,16,7,11,8,72.7%,47,5.9,1,3,10,4.3,0.5,2.9,0,2019
StocLu00,ATL,31,TE,15,9,14,8,57.1%,53,6.6,0,2,18,3.8,0.5,3.5,1,2019
SweeTo00,BUF,24,TE,6,1,13,8,61.5%,114,14.3,0,4,29,8.8,1.3,19.0,0,2019
SwitRy00,PIT,25,WR,9,0,11,8,72.7%,27,3.4,0,2,8,2.5,0.9,3.0,1,2019
WillLu00,SEA,29,TE,8,7,10,8,80.0%,79,9.9,0,5,17,7.9,1.0,9.9,0,2019
ZylsBr00,CAR,26,WR,8,0,12,8,66.7%,106,13.3,0,5,40,8.8,1.0,13.3,1,2019
BrowDa04,NYJ,27,WR,16,5,11,7,63.6%,72,10.3,1,4,24,6.5,0.4,4.5,0,2019
DaviMi01,2TM,26,WR,12,1,8,7,87.5%,22,3.1,0,1,7,2.8,0.6,1.8,0,2019
EdwaGu00,BAL,24,RB,16,1,7,7,100.0%,45,6.4,0,2,10,6.4,0.4,2.8,2,2019
GaskMy00,MIA,22,RB,7,0,12,7,58.3%,51,7.3,0,2,20,4.3,1.0,7.3,0,2019
GuicDe00,WAS,22,RB,5,1,9,7,77.8%,79,11.3,1,2,45,8.8,1.4,15.8,0,2019
HallMa02,DET,26,WR,9,0,11,7,63.6%,261,37.3,1,7,58,23.7,0.8,29.0,0,2019
HoltJ.01,2TM,26,TE,15,7,8,7,87.5%,91,13.0,0,4,30,11.4,0.5,6.1,0,2019
PoweBi00,NYJ,31,RB,13,1,12,7,58.3%,33,4.7,0,0,9,2.8,0.5,2.5,0,2019
