0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
HenrDe00,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5,2019
ElliEz00,DAL,24,RB,16,16,301,1357,12,78,33,4.5,84.8,3,2019
ChubNi00,CLE,24,RB,16,16,298,1494,8,62,88,5.0,93.4,3,2019
McCaCh01,CAR,23,RB,16,16,287,1387,15,57,84,4.8,86.7,1,2019
CarsCh00,SEA,25,RB,15,15,278,1230,7,75,59,4.4,82.0,7,2019
MixoJo00,CIN,23,RB,16,15,278,1137,5,56,41,4.1,71.1,0,2019
FourLe00,JAX,24,RB,15,15,265,1152,3,55,81,4.3,76.8,1,2019
CookDa01,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4,2019
MackMa00,IND,23,RB,14,12,247,1091,8,67,63,4.4,77.9,0,2019
MichSo00,NWE,24,RB,16,14,247,912,7,55,26,3.7,57.0,2,2019
BellLe00,NYJ,27,RB,15,15,245,789,3,36,19,3.2,52.6,1,2019
HydeCa00,HOU,29,RB,16,14,245,1070,6,55,58,4.4,66.9,4,2019
JacoJo01,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1,2019
MontDa01,CHI,22,RB,16,8,242,889,6,50,55,3.7,55.6,2,2019
JoneAa00,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3,2019
LindPh00,DEN,25,RB,16,16,224,1011,7,38,40,4.5,63.2,0,2019
GurlTo01,LAR,25,RB,15,15,223,857,12,51,25,3.8,57.1,3,2019
BarkSa00,NYG,22,RB,13,13,217,1003,6,45,68,4.6,77.2,1,2019
PeteAd01,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3,2019
IngrMa01,BAL,30,RB,15,15,202,1018,10,53,53,5.0,67.9,2,2019
FreeDe00,ATL,27,RB,14,14,184,656,2,31,28,3.6,46.9,3,2019
SandMi01,PHI,22,RB,16,11,179,818,3,30,65,4.6,51.1,2,2019
JackLa00,BAL,22,QB,15,15,176,1206,7,71,47,6.9,80.4,9,2019
JoneRo01,TAM,22,RB,16,9,172,724,6,34,49,4.2,45.3,3,2019
KamaAl00,NOR,24,RB,14,9,171,797,5,32,40,4.7,56.9,4,2019
DrakKe00,2TM,25,RB,14,10,170,817,8,48,80,4.8,58.4,2,2019
GoreFr00,BUF,36,RB,16,8,166,599,2,30,41,3.6,37.4,0,2019
GordMe00,LAC,26,RB,12,11,162,612,8,39,24,3.8,51.0,4,2019
BarbPe01,TAM,25,RB,16,7,154,470,6,23,17,3.1,29.4,1,2019
2019,,,,,,,,,,,,,,
SingDe00,BUF,22,RB,12,8,151,775,2,37,38,5.1,64.6,4,2019
MurrLa00,NOR,29,RB,16,8,146,637,5,38,30,4.4,39.8,0,2019
ColeTe01,SFO,26,RB,14,11,137,544,6,26,48,4.0,38.9,0,2019
MostRa00,SFO,27,RB,16,0,137,772,8,31,41,5.6,48.3,2,2019
EdwaGu00,BAL,24,RB,16,1,133,711,2,46,63,5.3,44.4,2,2019
EkelAu00,LAC,24,RB,16,8,132,557,3,32,35,4.2,34.8,3,2019
FreeRo00,DEN,23,RB,16,0,132,496,3,22,26,3.8,31.0,0,2019
BreiMa00,SFO,24,RB,13,5,123,623,1,23,83,5.1,47.9,2,2019
HowaJo00,PHI,25,RB,10,4,119,525,6,28,20,4.4,52.5,0,2019
ConnJa00,PIT,24,RB,10,10,116,464,4,26,25,4.0,46.4,1,2019
JohnKe06,DET,22,RB,8,7,113,403,3,22,20,3.6,50.4,1,2019
WillDa05,KAN,27,RB,11,6,111,498,5,22,91,4.5,45.3,1,2019
AlleJo02,BUF,23,QB,16,16,109,510,9,42,36,4.7,31.9,14,2019
SnelBe00,PIT,21,RB,13,2,108,426,2,19,23,3.9,32.8,1,2019
WashDe00,OAK,26,RB,16,3,108,387,3,23,36,3.6,24.2,0,2019
WillJa06,GNB,24,RB,14,2,107,460,1,23,45,4.3,32.9,0,2019
McCoLe01,KAN,31,RB,13,9,101,465,4,24,39,4.6,35.8,3,2019
MattAl01,MIN,21,RB,13,0,100,462,1,19,35,4.6,35.5,1,2019
JohnDa08,ARI,28,RB,13,9,94,345,2,20,18,3.7,26.5,1,2019
MurrKy00,ARI,22,QB,16,16,93,544,4,27,35,5.8,34.0,5,2019
ScarBo01,DET,25,RB,6,5,89,377,1,15,30,4.2,62.8,1,2019
PollTo00,DAL,22,RB,15,0,86,455,2,21,44,5.3,30.3,1,2019
JohnDu00,HOU,26,RB,16,2,83,410,2,17,40,4.9,25.6,1,2019
WatsDe00,HOU,24,QB,15,15,82,413,7,29,30,5.0,27.5,10,2019
HillBr02,ATL,24,RB,12,2,78,323,2,19,27,4.1,26.9,0,2019
WilsRu00,SEA,31,QB,16,16,75,342,3,17,21,4.6,21.4,8,2019
BallKa00,MIA,24,RB,12,6,74,135,3,10,8,1.8,11.3,0,2019
BrowMa03,LAR,26,RB,14,1,69,255,5,16,17,3.7,18.2,0,2019
MinsGa00,JAX,23,QB,14,12,67,344,0,20,21,5.1,24.6,12,2019
WhitJa02,NWE,27,RB,15,1,67,263,1,15,32,3.9,17.5,1,2019
2019,,,,,,,,,,,,,,
SamuJa00,PIT,23,RB,14,4,66,175,1,9,13,2.7,12.5,1,2019
BurkRe00,NWE,29,RB,13,1,65,302,3,18,33,4.6,23.2,1,2019
PennRa00,SEA,23,RB,10,0,65,370,3,16,58,5.7,37.0,1,2019
CoheTa00,CHI,24,RB,16,11,64,213,0,15,19,3.3,13.3,3,2019
JohnTy02,DET,22,RB,16,1,63,273,0,11,40,4.3,17.1,1,2019
LairPa00,MIA,24,RB,15,4,62,168,1,9,18,2.7,11.2,0,2019
WentCa00,PHI,27,QB,16,16,62,243,1,21,19,3.9,15.2,16,2019
ScotBo02,PHI,24,RB,11,2,61,245,5,17,25,4.0,22.3,4,2019
EdmoCh00,ARI,23,RB,13,2,60,303,4,12,37,5.1,23.3,0,2019
PoweBi00,NYJ,31,RB,13,1,59,229,0,12,17,3.9,17.6,0,2019
WinsJa00,TAM,25,QB,16,16,59,250,1,18,26,4.2,15.6,12,2019
HillJu00,BAL,22,RB,16,0,58,225,2,10,18,3.9,14.1,0,2019
BrisJa00,IND,27,QB,15,15,56,228,4,20,24,4.1,15.2,7,2019
FitzRy00,MIA,37,QB,15,13,54,243,4,16,20,4.5,16.2,9,2019
LewiDi00,TEN,29,RB,16,1,54,209,0,6,17,3.9,13.1,1,2019
BernGi00,CIN,28,RB,16,2,53,170,0,10,25,3.2,10.6,2,2019
WaltMa00,MIA,22,RB,7,4,53,201,0,11,19,3.8,28.7,1,2019
HineNy00,IND,23,RB,16,2,52,199,2,16,18,3.8,12.4,1,2019
PresDa01,DAL,26,QB,16,16,52,277,3,19,42,5.3,17.3,6,2019
WilkJo01,IND,25,RB,14,1,51,307,2,12,55,6.0,21.9,0,2019
BoonMi00,MIN,24,RB,16,2,49,273,3,9,59,5.6,17.1,0,2019
WillJo07,IND,25,RB,9,1,49,235,1,13,48,4.8,26.1,0,2019
TrubMi00,CHI,25,QB,15,15,48,193,2,12,23,4.0,12.9,5,2019
GaroJi00,SFO,28,QB,16,16,46,62,1,13,11,1.3,3.9,10,2019
RodgAa00,GNB,36,QB,16,16,46,183,1,9,17,4.0,11.4,4,2019
JoneDa05,NYG,22,QB,13,12,45,279,2,21,26,6.2,21.5,19,2019
HuntKa00,CLE,24,RB,8,3,43,179,2,8,16,4.2,22.4,1,2019
MahoPa00,KAN,24,QB,14,14,43,218,2,15,25,5.1,15.6,3,2019
TannRy00,TEN,31,QB,12,10,43,185,4,14,25,4.3,15.4,5,2019
GuicDe00,WAS,22,RB,5,1,42,245,2,9,60,5.8,49.0,0,2019
2019,,,,,,,,,,,,,,
WillDa10,KAN,24,RB,12,0,41,141,3,12,41,3.4,11.8,1,2019
HendDa00,LAR,22,RB,13,0,39,147,0,10,22,3.8,11.3,0,2019
RichJa01,OAK,26,RB,16,0,39,145,0,10,13,3.7,9.1,2,2019
McKiJ.00,DET,26,WR,16,3,38,205,0,8,44,5.4,12.8,0,2019
ThomCh03,WAS,29,RB,11,0,37,138,0,7,16,3.7,12.5,1,2019
ThomDa06,KAN,22,RB,12,0,37,128,1,9,12,3.5,10.7,0,2019
GaskMy00,MIA,22,RB,7,0,36,133,1,7,27,3.7,19.0,0,2019
ArmsRy00,JAX,23,RB,16,1,35,108,0,5,16,3.1,6.8,0,2019
RyanMa00,ATL,34,QB,15,15,34,147,1,10,12,4.3,9.8,9,2019
DarnSa00,NYJ,22,QB,13,13,33,62,2,6,24,1.9,4.8,11,2019
GoffJa00,LAR,25,QB,16,16,33,40,2,5,8,1.2,2.5,10,2019
