0,1,2,3,4,5,6,7
ElliEz00,Ezekiel Elliott,DAL,26.0,RB,17.0,17.0,2021.0
JoneZa00,Zay Jones,LVR,26.0,WR,17.0,9.0,2021.0
KamaAl00,Alvin Kamara,NOR,26.0,RB,13.0,10.0,2021.0
WillDa10,Darrel Williams,KAN,26.0,RB,17.0,7.0,2021.0
BateRa00,Rashod Bateman,BAL,22.0,WR,12.0,4.0,2021.0
BerrBr00,Braxton Berrios,NYJ,26.0,WR,16.0,1.0,2021.0
CallMa01,Marquez Callaway,NOR,23.0,WR,17.0,11.0,2021.0
EngrEv00,Evan Engram,NYG,27.0,TE,15.0,12.0,2021.0
WilsCe01,Cedrick Wilson Jr.,DAL,26.0,WR,16.0,4.0,2021.0
WoodRo02,Robert Woods,LAR,29.0,WR,9.0,9.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
BeckOd00,Odell Beckham Jr.,2TM,29.0,WR,14.0,13.0,2021.0
DaviMi01,Mike Davis,ATL,28.0,RB,17.0,8.0,2021.0
EdmoCh00,Chase Edmonds,ARI,25.0,RB,12.0,11.0,2021.0
McKiJ.00,J.D. McKissic,WAS,28.0,WR,11.0,3.0,2021.0
MoorEl00,Elijah Moore,NYJ,21.0,WR,11.0,6.0,2021.0
WatkQu00,Quez Watkins,PHI,23.0,WR,17.0,12.0,2021.0
WillJa10,Javonte Williams,DEN,21.0,RB,17.0,1.0,2021.0
BrowAn04,Antonio Brown,TAM,33.0,WR,7.0,3.0,2021.0
GibsAn00,Antonio Gibson,WAS,23.0,RB,16.0,14.0,2021.0
HopkDe00,DeAndre Hopkins,ARI,29.0,WR,10.0,10.0,2021.0
MixoJo00,Joe Mixon,CIN,25.0,RB,16.0,16.0,2021.0
MontDa01,David Montgomery,CHI,24.0,RB,13.0,13.0,2021.0
PrinBy00,Byron Pringle,KAN,28.0,WR,17.0,5.0,2021.0
SandEm00,Emmanuel Sanders,BUF,34.0,WR,14.0,13.0,2021.0
BarkSa00,Saquon Barkley,NYG,24.0,RB,13.0,13.0,2021.0
BoldBr00,Brandon Bolden,NWE,31.0,RB,17.0,1.0,2021.0
HumpAd00,Adam Humphries,WAS,28.0,WR,17.0,11.0,2021.0
BookDe00,Devontae Booker,NYG,29.0,RB,16.0,4.0,2021.0
HineNy00,Nyheim Hines,IND,25.0,RB,17.0,4.0,2021.0
LazaAl00,Allen Lazard,GNB,26.0,WR,15.0,13.0,2021.0
ParkDe01,DeVante Parker,MIA,28.0,WR,10.0,8.0,2021.0
SingDe00,Devin Singletary,BUF,24.0,RB,17.0,16.0,2021.0
TaylJo02,Jonathan Taylor,IND,22.0,RB,17.0,17.0,2021.0
McClRa00,Ray-Ray McCloud,PIT,25.0,WR,16.0,5.0,2021.0
PollTo00,Tony Pollard,DAL,24.0,RB,15.0,0.0,2021.0
ToneKa00,Kadarius Toney,NYG,22.0,WR,10.0,4.0,2021.0
AbduAm00,Ameer Abdullah,2TM,28.0,RB,17.0,1.0,2021.0
HoopAu00,Austin Hooper,CLE,27.0,TE,16.0,16.0,2021.0
JeudJe00,Jerry Jeudy,DEN,22.0,WR,10.0,5.0,2021.0
PascZa00,Zach Pascal,IND,27.0,WR,16.0,13.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
RobiAl02,Allen Robinson,CHI,28.0,WR,12.0,11.0,2021.0
WestNi00,Nick Westbrook-Ikhine,TEN,24.0,WR,16.0,7.0,2021.0
AghoNe00,Nelson Agholor,NWE,28.0,WR,15.0,13.0,2021.0
ConnJa00,James Conner,ARI,26.0,RB,15.0,6.0,2021.0
GollKe00,Kenny Golladay,NYG,28.0,WR,14.0,14.0,2021.0
McCaCh01,Christian McCaffrey,CAR,25.0,RB,7.0,7.0,2021.0
CartMi03,Michael Carter,NYJ,22.0,RB,14.0,11.0,2021.0
HarrDe07,Deonte Harty,NOR,24.0,WR,13.0,1.0,2021.0
JohnTy00,Tyler Johnson,TAM,23.0,WR,17.0,3.0,2021.0
NjokDa00,David Njoku,CLE,25.0,TE,16.0,11.0,2021.0
ShepSt00,Sterling Shepard,NYG,28.0,WR,7.0,6.0,2021.0
ArnoDa00,Dan Arnold,2TM,26.0,WR,11.0,4.0,2021.0
DaviGa01,Gabriel Davis,BUF,22.0,WR,16.0,4.0,2021.0
GallMi00,Michael Gallup,DAL,25.0,WR,9.0,8.0,2021.0
CookDa01,Dalvin Cook,MIN,26.0,RB,13.0,13.0,2021.0
DaviCo03,Corey Davis,NYJ,26.0,WR,9.0,9.0,2021.0
DillAJ00,AJ Dillon,GNB,23.0,RB,17.0,2.0,2021.0
EdwaBr01,Bryan Edwards,LVR,23.0,WR,16.0,12.0,2021.0
FirkAn00,Anthony Firkser,TEN,26.0,FB,15.0,1.0,2021.0
FreeDe00,Devonta Freeman,BAL,29.0,RB,16.0,8.0,2021.0
JohnTy02,Ty Johnson,NYJ,24.0,RB,16.0,3.0,2021.0
PeopDo00,Donovan Peoples-Jones,CLE,22.0,WR,14.0,9.0,2021.0
SmytDu00,Durham Smythe,MIA,26.0,TE,17.0,12.0,2021.0
CollNi00,Nico Collins,HOU,22.0,WR,14.0,8.0,2021.0
DuveDe00,Devin Duvernay,BAL,24.0,WR,16.0,7.0,2021.0
GainKe00,Kenneth Gainwell,PHI,22.0,RB,16.0,1.0,2021.0
OkwuAl00,Albert Okwuegbunam,DEN,23.0,TE,14.0,6.0,2021.0
PalmJo00,Josh Palmer,LAC,23.0,WR,17.0,5.0,2021.0
ReagJa00,Jalen Reagor,PHI,22.0,WR,17.0,13.0,2021.0
TreaLa00,Laquon Treadwell,JAX,26.0,WR,12.0,7.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
JohnDa08,David Johnson,HOU,30.0,RB,13.0,4.0,2021.0
MattAl01,Alexander Mattison,MIN,23.0,RB,16.0,4.0,2021.0
SmitTr03,Tre'Quan Smith,NOR,25.0,WR,11.0,6.0,2021.0
GuytJa01,Jalen Guyton,LAC,24.0,WR,16.0,2.0,2021.0
JoneJu02,Julio Jones,TEN,32.0,WR,10.0,10.0,2021.0
RidlCa00,Calvin Ridley,ATL,27.0,WR,5.0,5.0,2021.0
RobiJa00,James Robinson,JAX,23.0,RB,14.0,13.0,2021.0
SwaiGe00,Geoff Swaim,TEN,28.0,TE,16.0,16.0,2021.0
ZaccOl01,Olamide Zaccheaus,ATL,24.0,WR,17.0,8.0,2021.0
BratCa00,Cameron Brate,TAM,30.0,TE,17.0,3.0,2021.0
DrakKe00,Kenyan Drake,LVR,27.0,RB,12.0,2.0,2021.0
JuszKy00,Kyle Juszczyk,SFO,30.0,FB,17.0,16.0,2021.0
MoreFo00,Foster Moreau,LVR,24.0,TE,17.0,11.0,2021.0
RogeCh02,Chester Rogers,TEN,27.0,WR,16.0,2.0,2021.0
SealRi00,Ricky Seals-Jones,WAS,26.0,TE,13.0,6.0,2021.0
DoylJa00,Jack Doyle,IND,31.0,TE,17.0,14.0,2021.0
HendDa00,Darrell Henderson,LAR,24.0,RB,12.0,10.0,2021.0
ReynJo00,Josh Reynolds,2TM,26.0,WR,12.0,5.0,2021.0
CobbRa00,Randall Cobb,GNB,31.0,WR,12.0,3.0,2021.0
ColeKe00,Keelan Cole,NYJ,28.0,WR,15.0,11.0,2021.0
GordMe00,Melvin Gordon,DEN,28.0,RB,16.0,16.0,2021.0
McNiJe00,Jeremy McNichols,TEN,26.0,RB,14.0,0.0,2021.0
SmitJo01,Jonnu Smith,NWE,26.0,TE,16.0,11.0,2021.0
GrifRy00,Ryan Griffin,NYJ,31.0,TE,14.0,12.0,2021.0
IngrMa01,Mark Ingram,2TM,32.0,RB,14.0,10.0,2021.0
PeriSa00,Samaje Perine,CIN,26.0,RB,16.0,0.0,2021.0
TrauAd00,Adam Trautman,NOR,24.0,TE,13.0,10.0,2021.0
WatkSa00,Sammy Watkins,BAL,28.0,WR,13.0,9.0,2021.0
ByrdDa00,Damiere Byrd,CHI,28.0,WR,17.0,4.0,2021.0
HursHa00,Hayden Hurst,ATL,28.0,TE,13.0,5.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
RudoKy00,Kyle Rudolph,NYG,32.0,TE,16.0,13.0,2021.0
SandMi01,Miles Sanders,PHI,24.0,RB,12.0,12.0,2021.0
SlayDa01,Darius Slayton,NYG,24.0,WR,13.0,5.0,2021.0
ValdMa00,Marquez Valdes-Scantling,GNB,27.0,WR,11.0,7.0,2021.0
WillJa06,Jamaal Williams,DET,26.0,RB,13.0,11.0,2021.0
BurkRe00,Rex Burkhead,HOU,31.0,RB,16.0,5.0,2021.0
DeguJo00,Josiah Deguara,GNB,24.0,TE,16.0,2.0,2021.0
HubbCh01,Chuba Hubbard,CAR,22.0,RB,17.0,10.0,2021.0
RobiDe01,Demarcus Robinson,KAN,27.0,WR,17.0,10.0,2021.0
SharTa00,Tajae Sharpe,ATL,27.0,WR,15.0,7.0,2021.0
SwaiFr00,Freddie Swain,SEA,23.0,WR,17.0,8.0,2021.0
WilsAl02,Albert Wilson,MIA,29.0,WR,14.0,5.0,2021.0
AgneJa00,Jamal Agnew,JAX,26.0,WR,10.0,2.0,2021.0
AkinJo00,Jordan Akins,HOU,29.0,TE,13.0,3.0,2021.0
AlieMo00,Mo Alie-Cox,IND,28.0,TE,17.0,7.0,2021.0
AmenDa00,Danny Amendola,HOU,36.0,WR,8.0,0.0,2021.0
AustTa00,Tavon Austin,JAX,31.0,WR,13.0,3.0,2021.0
CartDe02,DeAndre Carter,WAS,28.0,WR,17.0,6.0,2021.0
HiggRa00,Rashard Higgins,CLE,27.0,WR,15.0,4.0,2021.0
JennJa00,Jauan Jennings,SFO,24.0,WR,16.0,1.0,2021.0
O'ShJa00,James O'Shaughnessy,JAX,29.0,TE,7.0,6.0,2021.0
RuggHe00,Henry Ruggs III,LVR,22.0,WR,7.0,7.0,2021.0
WashJa00,James Washington,PIT,25.0,WR,15.0,2.0,2021.0
BernGi00,Giovani Bernard,TAM,30.0,RB,12.0,0.0,2021.0
BrowPh01,Pharaoh Brown,HOU,27.0,TE,15.0,12.0,2021.0
HastJa02,Jamycal Hasty,SFO,25.0,RB,11.0,0.0,2021.0
HiltT.00,T.Y. Hilton,IND,32.0,WR,10.0,9.0,2021.0
LewiMa00,Marcedes Lewis,GNB,37.0,TE,17.0,17.0,2021.0
MossZa00,Zack Moss,BUF,24.0,RB,13.0,0.0,2021.0
ConlCh00,Chris Conley,HOU,29.0,WR,16.0,10.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
HuntKa00,Kareem Hunt,CLE,26.0,RB,8.0,1.0,2021.0
JackJu01,Justin Jackson,LAC,25.0,RB,14.0,2.0,2021.0
BryaHa00,Harrison Bryant,CLE,23.0,TE,16.0,3.0,2021.0
DallDe00,DeeJay Dallas,SEA,23.0,RB,17.0,0.0,2021.0
DissWi00,Will Dissly,SEA,25.0,TE,15.0,14.0,2021.0
MichSo00,Sony Michel,LAR,26.0,RB,17.0,7.0,2021.0
MoorCh00,Chris Moore,HOU,28.0,WR,12.0,1.0,2021.0
BateJo00,John Bates,WAS,24.0,TE,17.0,8.0,2021.0
ChubNi00,Nick Chubb,CLE,26.0,RB,14.0,14.0,2021.0
GoodMa00,Marquise Goodwin,CHI,31.0,WR,14.0,2.0,2021.0
JackDe00,DeSean Jackson,2TM,35.0,WR,16.0,4.0,2021.0
JordBr00,Brevin Jordan,HOU,21.0,TE,9.0,2.0,2021.0
McKeIs00,Isaiah McKenzie,BUF,26.0,WR,15.0,2.0,2021.0
ParhDo00,Donald Parham,LAC,24.0,TE,14.0,9.0,2021.0
TremTo00,Tommy Tremble,CAR,21.0,TE,16.0,11.0,2021.0
EdwaCl00,Clyde Edwards-Helaire,KAN,22.0,RB,10.0,10.0,2021.0
GentZa00,Zach Gentry,PIT,25.0,TE,17.0,12.0,2021.0
HillDo00,Dontrell Hilliard,TEN,26.0,RB,8.0,5.0,2021.0
JohnDE04,D'Ernest Johnson,CLE,25.0,RB,17.0,2.0,2021.0
MitcEl00,Elijah Mitchell,SFO,23.0,RB,11.0,10.0,2021.0
WeslAn01,Antoine Wesley,ARI,24.0,WR,15.0,4.0,2021.0
FeltDe00,Demetric Felton,CLE,23.0,WR,16.0,2.0,2021.0
HarrDa06,Damien Harris,NWE,24.0,RB,15.0,15.0,2021.0
HenrDe00,Derrick Henry,TEN,27.0,RB,8.0,8.0,2021.0
ThomIa00,Ian Thomas,CAR,25.0,TE,17.0,13.0,2021.0
ThomLo00,Logan Thomas,WAS,30.0,TE,6.0,6.0,2021.0
TonyRo00,Robert Tonyan,GNB,27.0,TE,8.0,5.0,2021.0
ZylsBr00,Brandon Zylstra,CAR,28.0,WR,13.0,3.0,2021.0
HamxC.00,C.J. Ham,MIN,28.0,FB,17.0,8.0,2021.0
MarsTe00,Terrace Marshall Jr.,CAR,21.0,WR,13.0,3.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
AndeSt01,Stephen Anderson,LAC,28.0,TE,17.0,4.0,2021.0
BrowNo00,Noah Brown,DAL,25.0,WR,13.0,1.0,2021.0
HomeTr00,Travis Homer,SEA,23.0,RB,14.0,0.0,2021.0
KrofTy00,Tyler Kroft,NYJ,29.0,TE,9.0,6.0,2021.0
MontTy01,Ty Montgomery,NOR,28.0,WR,14.0,3.0,2021.0
ProcJa00,James Proche,BAL,25.0,WR,14.0,0.0,2021.0
WillDa05,Damien Williams,CHI,29.0,RB,12.0,2.0,2021.0
WillMa04,Maxx Williams,ARI,27.0,TE,5.0,5.0,2021.0
CephQu00,Quintez Cephus,DET,23.0,WR,5.0,3.0,2021.0
EvanCh02,Chris Evans,CIN,24.0,RB,14.0,1.0,2021.0
HintKe00,Kendall Hinton,DEN,24.0,WR,16.0,1.0,2021.0
SanuMo00,Mohamed Sanu,SFO,32.0,WR,8.0,0.0,2021.0
SimsCa00,Cam Sims,WAS,25.0,WR,14.0,3.0,2021.0
SmitJu00,JuJu Smith-Schuster,PIT,25.0,WR,5.0,5.0,2021.0
GrahJi00,Jimmy Graham,CHI,35.0,TE,15.0,6.0,2021.0
HerbKh00,Khalil Herbert,CHI,23.0,RB,17.0,2.0,2021.0
HollMa00,Mack Hollins,MIA,28.0,WR,17.0,3.0,2021.0
HowaO.00,O.J. Howard,TAM,27.0,TE,17.0,9.0,2021.0
PruiMy00,MyCole Pruitt,TEN,29.0,TE,16.0,9.0,2021.0
StevRh00,Rhamondre Stevenson,NWE,23.0,RB,12.0,2.0,2021.0
DuliAs00,Ashton Dulin,IND,24.0,WR,17.0,1.0,2021.0
HodgKh00,KhaDarel Hodge,DET,26.0,WR,16.0,1.0,2021.0
HumpLi01,Lil'Jordan Humphrey,NOR,23.0,WR,10.0,4.0,2021.0
JohnJu02,Juwan Johnson,NOR,25.0,WR,14.0,2.0,2021.0
McKiJe00,Jerick McKinnon,KAN,29.0,RB,13.0,0.0,2021.0
OgunDa00,Dare Ogunbowale,JAX,27.0,RB,17.0,2.0,2021.0
ScotBo02,Boston Scott,PHI,26.0,RB,16.0,4.0,2021.0
AhmeSa01,Salvon Ahmed,MIA,23.0,RB,12.0,0.0,2021.0
BrowDy00,Dyami Brown,WAS,22.0,WR,15.0,6.0,2021.0
EbroEr00,Eric Ebron,PIT,28.0,TE,8.0,3.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
FordIs00,Isaiah Ford,MIA,25.0,WR,13.0,2.0,2021.0
HarrNK00,N'Keal Harry,NWE,24.0,WR,12.0,4.0,2021.0
HydeCa00,Carlos Hyde,JAX,31.0,RB,12.0,2.0,2021.0
RichJa01,Jalen Richard,LVR,28.0,RB,10.0,0.0,2021.0
ShahAd00,Adam Shaheen,MIA,27.0,TE,12.0,7.0,2021.0
TurnMa00,Malik Turner,DAL,25.0,WR,14.0,0.0,2021.0
WhitJa02,James White,NWE,29.0,RB,3.0,0.0,2021.0
WrigBr01,Brock Wright,DET,23.0,TE,10.0,5.0,2021.0
ColeTe01,Tevin Coleman,NYJ,28.0,RB,11.0,5.0,2021.0
GranKy00,Kylen Granson,IND,23.0,TE,17.0,0.0,2021.0
GranJa00,Jakeem Grant,2TM,29.0,WR,15.0,0.0,2021.0
JarwBl00,Blake Jarwin,DAL,27.0,TE,8.0,5.0,2021.0
