0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
EdelJu00,NWE,32,WR,12,12,108,74,68.5%,850,11.5,6,41,36,7.9,6.2,70.8,1,2018
TateGo00,2TM,30,WR,15,7,113,74,65.5%,795,10.7,4,32,67,7.0,4.9,53.0,3,2018
2018,,,,,,,,,,,,,,,,,,
CoheTa00,CHI,23,RB,16,7,91,71,78.0%,725,10.2,5,29,70,8.0,4.4,45.3,7,2018
HoopAu00,ATL,24,TE,16,7,88,71,80.7%,660,9.3,4,30,36,7.5,4.4,41.3,0,2018
SandEm00,DEN,31,WR,12,12,98,71,72.4%,868,12.2,4,37,64,8.9,5.9,72.3,1,2018
GollKe00,DET,25,WR,15,13,119,70,58.8%,1063,15.2,5,55,60,8.9,4.7,70.9,1,2018
FitzLa00,ARI,35,WR,16,16,112,69,61.6%,734,10.6,6,39,37,6.6,4.3,45.9,0,2018
CookJa02,OAK,31,TE,16,14,101,68,67.3%,896,13.2,6,46,45,8.9,4.3,56.0,0,2018
RichJa01,OAK,25,RB,16,1,81,68,84.0%,607,8.9,0,23,32,7.5,4.3,37.9,3,2018
GabrTa00,CHI,27,WR,16,11,93,67,72.0%,688,10.3,2,31,54,7.4,4.2,43.0,1,2018
EbroEr00,IND,25,TE,16,8,110,66,60.0%,750,11.4,13,39,53,6.8,4.1,46.9,1,2018
SanuMo00,ATL,29,WR,16,16,94,66,70.2%,838,12.7,4,40,44,8.9,4.1,52.4,2,2018
ShepSt00,NYG,25,WR,16,16,107,66,61.7%,872,13.2,4,47,58,8.1,4.1,54.5,1,2018
WestDe00,JAX,25,WR,16,9,101,66,65.3%,717,10.9,5,40,61,7.1,4.1,44.8,3,2018
BeasCo00,DAL,29,WR,16,4,87,65,74.7%,672,10.3,3,39,32,7.7,4.1,42.0,0,2018
DaviCo03,TEN,23,WR,16,16,112,65,58.0%,891,13.7,4,47,51,8.0,4.1,55.7,1,2018
JeffAl00,PHI,28,WR,13,13,92,65,70.7%,843,13.0,6,48,52,9.2,5.0,64.8,1,2018
AghoNe00,PHI,25,WR,16,16,97,64,66.0%,736,11.5,4,28,83,7.6,4.0,46.0,1,2018
RidlCa00,ATL,24,WR,16,5,92,64,69.6%,821,12.8,10,39,75,8.9,4.0,51.3,2,2018
RudoKy00,MIN,29,TE,16,16,82,64,78.0%,634,9.9,4,32,44,7.7,4.0,39.6,0,2018
HineNy00,IND,22,RB,16,4,81,63,77.8%,425,6.7,2,29,28,5.2,3.9,26.6,1,2018
NelsJo00,OAK,33,WR,15,14,88,63,71.6%,739,11.7,3,36,66,8.4,4.2,49.3,1,2018
SneaWi00,BAL,26,WR,16,10,95,62,65.3%,651,10.5,1,37,28,6.9,3.9,40.7,0,2018
RiddTh00,DET,27,RB,14,3,74,61,82.4%,384,6.3,0,16,20,5.2,4.4,27.4,0,2018
AmenDa00,MIA,33,WR,15,15,79,59,74.7%,575,9.7,1,27,39,7.3,3.9,38.3,2,2018
GodwCh00,TAM,22,WR,16,5,95,59,62.1%,842,14.3,7,48,48,8.9,3.7,52.6,4,2018
GurlTo01,LAR,24,RB,14,14,81,59,72.8%,580,9.8,4,26,56,7.2,4.2,41.4,1,2018
LewiDi00,TEN,28,RB,16,7,67,59,88.1%,400,6.8,1,13,37,6.0,3.7,25.0,1,2018
ThomDe03,2TM,31,WR,15,15,89,59,66.3%,677,11.5,5,36,45,7.6,3.9,45.1,0,2018
LockTy00,SEA,26,WR,16,14,70,57,81.4%,965,16.9,10,37,52,13.8,3.6,60.3,2,2018
JoneZa00,BUF,23,WR,16,15,102,56,54.9%,652,11.6,7,33,57,6.4,3.5,40.8,1,2018
NjokDa00,CLE,22,TE,16,14,88,56,63.6%,639,11.4,4,27,66,7.3,3.5,39.9,0,2018
2018,,,,,,,,,,,,,,,,,,
ConnJa00,PIT,23,RB,13,12,71,55,77.5%,497,9.0,1,20,29,7.0,4.2,38.2,4,2018
GrahJi00,GNB,32,TE,16,12,89,55,61.8%,636,11.6,2,32,54,7.1,3.4,39.8,0,2018
MoorD.00,CAR,21,WR,16,10,82,55,67.1%,788,14.3,2,33,82,9.6,3.4,49.3,4,2018
RobiAl02,CHI,25,WR,13,12,94,55,58.5%,754,13.7,4,36,43,8.0,4.2,58.0,1,2018
YeldT.00,JAX,25,RB,14,5,78,55,70.5%,487,8.9,4,20,37,6.2,3.9,34.8,1,2018
BurtTr01,CHI,27,TE,16,16,76,54,71.1%,569,10.5,6,29,47,7.5,3.4,35.6,1,2018
CrabMi00,BAL,31,WR,16,16,100,54,54.0%,607,11.2,3,35,27,6.1,3.4,37.9,0,2018
ReedJo02,WAS,28,TE,13,8,84,54,64.3%,558,10.3,2,26,34,6.6,4.2,42.9,1,2018
DrakKe00,MIA,24,RB,16,7,73,53,72.6%,477,9.0,5,23,52,6.5,3.3,29.8,2,2018
RogeCh02,IND,24,WR,16,10,72,53,73.6%,485,9.2,2,28,34,6.7,3.3,30.3,1,2018
AndeRo04,NYJ,25,WR,14,9,94,50,53.2%,752,15.0,6,30,76,8.0,3.6,53.7,2,2018
BaldDo00,SEA,30,WR,13,13,73,50,68.5%,618,12.4,5,32,42,8.5,3.8,47.5,0,2018
GordMe00,LAC,25,RB,12,12,66,50,75.8%,490,9.8,4,21,66,7.4,4.2,40.8,1,2018
JohnDa08,ARI,27,RB,16,16,76,50,65.8%,446,8.9,3,22,40,5.9,3.1,27.9,3,2018
McDoVa00,PIT,28,TE,15,14,72,50,69.4%,610,12.2,4,33,75,8.5,3.3,40.7,2,2018
MoncDo00,JAX,25,WR,16,14,89,48,53.9%,668,13.9,3,28,80,7.5,3.0,41.8,1,2018
GronRo00,NWE,29,TE,13,11,72,47,65.3%,682,14.5,3,34,42,9.5,3.6,52.5,1,2018
JohnDu00,CLE,25,RB,16,2,62,47,75.8%,429,9.1,3,25,32,6.9,2.9,26.8,1,2018
GreeA.00,CIN,30,WR,9,9,77,46,59.7%,694,15.1,6,37,38,9.0,5.1,77.1,2,2018
EngrEv00,NYG,24,TE,11,8,64,45,70.3%,577,12.8,3,22,54,9.0,4.1,52.5,0,2018
RobeSe00,OAK,27,WR,15,7,64,45,70.3%,494,11.0,2,24,44,7.7,3.0,32.9,0,2018
DoctJo00,WAS,26,WR,15,12,78,44,56.4%,532,12.1,2,31,32,6.8,2.9,35.5,0,2018
FuncDe00,CAR,24,WR,14,12,79,44,55.7%,549,12.5,4,35,27,6.9,3.1,39.2,0,2018
CallAn00,CLE,21,WR,16,11,79,43,54.4%,586,13.6,5,27,71,7.4,2.7,36.6,1,2018
KirkCh01,ARI,22,WR,12,7,68,43,63.2%,590,13.7,3,21,75,8.7,3.6,49.2,0,2018
MixoJo00,CIN,22,RB,14,13,55,43,78.2%,296,6.9,1,14,21,5.4,3.1,21.1,0,2018
UzomC.00,CIN,25,TE,16,15,64,43,67.2%,439,10.2,3,21,29,6.9,2.7,27.4,0,2018
WillMi07,LAC,24,WR,16,5,66,43,65.2%,664,15.4,10,36,55,10.1,2.7,41.5,0,2018
WrigJa02,CAR,29,WR,16,6,59,43,72.9%,447,10.4,1,24,33,7.6,2.7,27.9,3,2018
BourKe00,SFO,23,WR,16,8,66,42,63.6%,487,11.6,4,30,33,7.4,2.6,30.4,1,2018
2018,,,,,,,,,,,,,,,,,,
BrowJo02,BAL,28,WR,16,15,97,42,43.3%,715,17.0,5,28,71,7.4,2.6,44.7,0,2018
SuttCo00,DEN,23,WR,16,9,84,42,50.0%,704,16.8,4,30,42,8.4,2.6,44.0,0,2018
GordJo02,2TM,27,WR,12,12,71,41,57.7%,737,18.0,4,30,55,10.4,3.4,61.4,0,2018
JackDe00,TAM,32,WR,12,10,74,41,55.4%,774,18.9,4,31,75,10.5,3.4,64.5,0,2018
ThomCh03,WAS,28,RB,10,0,55,41,74.5%,268,6.5,1,12,23,4.9,4.1,26.8,1,2018
WillTy00,LAC,26,WR,16,10,65,41,63.1%,653,15.9,5,30,75,10.0,2.6,40.8,2,2018
CookDa01,MIN,23,RB,11,10,49,40,81.6%,305,7.6,2,15,27,6.2,3.6,27.7,2,2018
KuppCo00,LAR,25,WR,8,8,55,40,72.7%,566,14.2,6,25,70,10.3,5.0,70.8,0,2018
WatkSa00,KAN,25,WR,10,9,55,40,72.7%,519,13.0,3,24,50,9.4,4.0,51.9,1,2018
EkelAu00,LAC,23,RB,14,3,53,39,73.6%,404,10.4,3,18,44,7.6,2.8,28.9,1,2018
HernCh00,NYJ,22,TE,16,12,56,39,69.6%,502,12.9,4,25,32,9.0,2.4,31.4,2,2018
HiggRa00,CLE,24,WR,13,1,53,39,73.6%,572,14.7,4,27,40,10.8,3.0,44.0,2,2018
SamuCu00,CAR,22,WR,13,8,65,39,60.0%,494,12.7,5,24,53,7.6,3.0,38.0,1,2018
BookDe00,DEN,26,RB,16,0,51,38,74.5%,275,7.2,0,9,30,5.4,2.4,17.2,1,2018
CobbRa00,GNB,28,WR,9,6,61,38,62.3%,383,10.1,2,18,75,6.3,4.2,42.6,2,2018
ColeKe00,JAX,25,WR,16,11,70,38,54.3%,491,12.9,1,25,35,7.0,2.4,30.7,2,2018
EnunQu00,NYJ,26,WR,11,10,68,38,55.9%,449,11.8,1,22,42,6.6,3.5,40.8,2,2018
RodgJa00,TAM,28,RB,16,0,45,38,84.4%,304,8.0,0,13,24,6.8,2.4,19.0,1,2018
ValdMa00,GNB,24,WR,16,10,73,38,52.1%,581,15.3,2,23,60,8.0,2.4,36.3,0,2018
KearJe01,NYJ,28,WR,14,9,76,37,48.7%,371,10.0,1,20,29,4.9,2.6,26.5,0,2018
StilKe00,MIA,26,WR,15,15,64,37,57.8%,553,14.9,6,27,75,8.6,2.5,36.9,1,2018
TaylTa00,TEN,23,WR,13,5,56,37,66.1%,466,12.6,1,19,55,8.3,2.8,35.8,1,2018
SwitRy00,PIT,24,WR,16,1,44,36,81.8%,253,7.0,1,15,24,5.8,2.3,15.8,2,2018
ThomIa00,CAR,22,TE,16,6,49,36,73.5%,333,9.3,2,20,31,6.8,2.3,20.8,0,2018
AlleJa01,BAL,27,RB,14,0,43,35,81.4%,196,5.6,2,11,17,4.6,2.5,14.0,1,2018
BernGi00,CIN,27,RB,12,4,48,35,72.9%,218,6.2,0,8,26,4.5,2.9,18.2,0,2018
GranRy01,IND,28,WR,14,10,52,35,67.3%,334,9.5,1,18,23,6.4,2.5,23.9,0,2018
HogaCh00,NWE,31,WR,16,7,55,35,63.6%,532,15.2,3,22,63,9.7,2.2,33.3,0,2018
JoneMa02,DET,28,WR,9,9,62,35,56.5%,508,14.5,5,27,39,8.2,3.9,56.4,0,2018
LindPh00,DEN,24,RB,15,8,47,35,74.5%,241,6.9,1,12,29,5.1,2.3,16.1,0,2018
2018,,,,,,,,,,,,,,,,,,
TreaLa00,MIN,23,WR,15,7,53,35,66.0%,302,8.6,1,16,22,5.7,2.3,20.1,0,2018
WatsBe00,NOR,38,TE,16,4,46,35,76.1%,400,11.4,2,21,32,8.7,2.2,25.0,0,2018
AndrMa00,BAL,23,TE,16,3,50,34,68.0%,552,16.2,3,28,74,11.0,2.1,34.5,0,2018
DaviMi01,SEA,25,WR,15,2,42,34,81.0%,214,6.3,1,10,18,5.1,2.3,14.3,0,2018
HowaO.00,TAM,24,TE,10,8,48,34,70.8%,565,16.6,5,28,75,11.8,3.4,56.5,0,2018
McCoLe01,BUF,30,RB,14,13,46,34,73.9%,238,7.0,0,10,24,5.2,2.4,17.0,0,2018
SealRi00,ARI,23,TE,15,5,69,34,49.3%,343,10.1,1,14,40,5.0,2.3,22.9,0,2018
EverGe00,LAR,24,TE,16,0,50,33,66.0%,320,9.7,3,16,40,6.4,2.1,20.0,0,2018
GallMi00,DAL,22,WR,16,8,68,33,48.5%,507,15.4,2,21,49,7.5,2.1,31.7,0,2018
GoedDa00,PHI,23,TE,16,8,44,33,75.0%,334,10.1,4,15,32,7.6,2.1,20.9,0,2018
MillAn02,CHI,24,WR,15,4,54,33,61.1%,423,12.8,7,19,55,7.8,2.2,28.2,1,2018
ColeTe01,ATL,25,RB,16,14,44,32,72.7%,276,8.6,5,15,39,6.3,2.0,17.3,2,2018
ConlCh00,KAN,26,WR,16,13,52,32,61.5%,334,10.4,5,18,27,6.4,2.0,20.9,2,2018
DorsPh00,NWE,25,WR,16,2,42,32,76.2%,290,9.1,3,14,20,6.9,2.0,18.1,0,2018
FullWi01,HOU,24,WR,7,7,45,32,71.1%,503,15.7,4,22,73,11.2,4.6,71.9,0,2018
JohnKe06,DET,21,RB,10,7,39,32,82.1%,213,6.7,1,11,24,5.5,3.2,21.3,1,2018
ElliBr00,2TM,27,WR,7,3,42,31,73.8%,224,7.2,1,14,23,5.3,4.4,32.0,1,2018
HeueJe00,DEN,26,TE,11,10,48,31,64.6%,281,9.1,2,14,36,5.9,2.8,25.5,0,2018
BratCa00,TAM,27,TE,16,2,49,30,61.2%,289,9.6,6,18,21,5.9,1.9,18.1,1,2018
HamiDa01,DEN,23,WR,14,5,45,30,66.7%,243,8.1,2,16,24,5.4,2.1,17.4,0,2018
JameJe00,PIT,24,TE,16,7,39,30,76.9%,423,14.1,2,17,51,10.8,1.9,26.4,0,2018
JuszKy00,SFO,27,FB,16,14,41,30,73.2%,324,10.8,1,15,56,7.9,1.9,20.3,2,2018
CrowJa00,WAS,25,WR,9,7,49,29,59.2%,388,13.4,2,15,79,7.9,3.2,43.1,0,2018
ReynJo00,LAR,23,WR,16,8,53,29,54.7%,402,13.9,5,23,33,7.6,1.8,25.1,0,2018
VannNi00,SEA,25,TE,15,9,43,29,67.4%,269,9.3,3,17,32,6.3,1.9,17.9,1,2018
CoutKe00,HOU,21,WR,6,2,41,28,68.3%,287,10.3,1,13,40,7.0,4.7,47.8,0,2018
GateAn00,LAC,38,TE,16,1,45,28,62.2%,333,11.9,2,19,27,7.4,1.8,20.8,1,2018
HarrMa05,WAS,26,WR,12,7,47,28,59.6%,304,10.9,0,12,42,6.5,2.3,25.3,1,2018
InmaDo00,IND,29,WR,9,4,39,28,71.8%,304,10.9,3,16,29,7.8,3.1,33.8,0,2018
SmalWe00,PHI,24,RB,16,6,35,28,80.0%,230,8.2,2,9,36,6.6,1.8,14.4,2,2018
2018,,,,,,,,,,,,,,,,,,
SmitTr03,NOR,22,WR,15,7,44,28,63.6%,427,15.3,5,23,62,9.7,1.9,28.5,0,2018
BreiMa00,SFO,23,RB,14,13,31,27,87.1%,261,9.7,2,12,26,8.4,1.9,18.6,1,2018
FostRo01,BUF,24,WR,13,3,44,27,61.4%,541,20.0,3,20,75,12.3,2.1,41.6,0,2018
JarwBl00,DAL,24,TE,16,4,36,27,75.0%,307,11.4,3,16,39,8.5,1.7,19.2,0,2018
OlseGr00,CAR,33,TE,9,9,38,27,71.1%,291,10.8,4,18,23,7.7,3.0,32.3,0,2018
PascZa00,IND,24,WR,16,4,46,27,58.7%,268,9.9,2,15,28,5.8,1.7,16.8,0,2018
PettDa00,SFO,23,WR,12,7,45,27,60.0%,467,17.3,5,19,75,10.4,2.3,38.9,2,2018
SmitIt00,ATL,23,RB,14,0,32,27,84.4%,152,5.6,0,9,20,4.8,1.9,10.9,1,2018
WillJa06,GNB,23,RB,16,8,41,27,65.9%,210,7.8,0,11,26,5.1,1.7,13.1,0,2018
DoylJa00,IND,28,TE,6,6,33,26,78.8%,245,9.4,2,14,20,7.4,4.3,40.8,1,2018
HuntKa00,KAN,23,RB,11,11,35,26,74.3%,378,14.5,7,16,67,10.8,2.4,34.4,0,2018
JoneAa00,GNB,24,RB,12,8,35,26,74.3%,206,7.9,1,12,24,5.9,2.2,17.2,1,2018
MoorDa03,SEA,23,WR,16,7,53,26,49.1%,445,17.1,5,19,54,8.4,1.6,27.8,2,2018
SamuJa00,PIT,22,RB,14,3,29,26,89.7%,199,7.7,3,10,23,6.9,1.9,14.2,1,2018
SharTa00,TEN,24,WR,16,13,47,26,55.3%,316,12.2,2,22,28,6.7,1.6,19.8,0,2018
SwaiGe00,DAL,25,TE,9,9,32,26,81.3%,242,9.3,1,11,43,7.6,2.9,26.9,0,2018
TaylTr02,SFO,24,WR,14,0,41,26,63.4%,215,8.3,1,11,23,5.2,1.9,15.4,1,2018
WilsAl02,MIA,26,WR,7,3,35,26,74.3%,391,15.0,4,11,75,11.2,3.7,55.9,0,2018
BenjKe00,2TM,27,WR,15,10,67,25,37.3%,380,15.2,1,16,40,5.7,1.7,25.3,0,2018
DaviVe00,WAS,34,TE,14,8,36,25,69.4%,367,14.7,2,15,53,10.2,1.8,26.2,0,2018
ElliRh00,NYG,30,TE,14,12,34,25,73.5%,272,10.9,1,13,29,8.0,1.8,19.4,0,2018
MillLa01,HOU,27,RB,14,14,35,25,71.4%,163,6.5,1,8,16,4.7,1.8,11.6,1,2018
MontTy01,2TM,25,WR,13,0,40,25,62.5%,235,9.4,0,7,43,5.9,1.9,18.1,2,2018
GarcPi00,SFO,32,WR,8,8,46,24,52.2%,286,11.9,1,14,25,6.2,3.0,35.8,0,2018
GrifRy00,HOU,28,TE,14,11,43,24,55.8%,305,12.7,0,15,47,7.1,1.7,21.8,0,2018
HigbTy00,LAR,25,TE,16,16,34,24,70.6%,292,12.2,2,16,36,8.6,1.5,18.3,1,2018
LaCoMa00,DEN,26,TE,15,5,37,24,64.9%,250,10.4,1,11,44,6.8,1.6,16.7,0,2018
O'ShJa00,JAX,26,TE,14,9,38,24,63.2%,214,8.9,0,10,17,5.6,1.7,15.3,0,2018
ParkDe01,MIA,25,WR,11,7,47,24,51.1%,309,12.9,1,14,46,6.6,2.2,28.1,0,2018
BoylNi00,BAL,25,TE,16,13,37,23,62.2%,213,9.3,0,10,25,5.8,1.4,13.3,0,2018
2018,,,,,,,,,,,,,,,,,,
GoodMa00,SFO,28,WR,11,8,43,23,53.5%,395,17.2,4,19,67,9.2,2.1,35.9,1,2018
PatrTi00,DEN,25,WR,16,4,41,23,56.1%,315,13.7,1,15,26,7.7,1.4,19.7,2,2018
WillDa05,KAN,26,RB,16,3,24,23,95.8%,160,7.0,2,9,32,6.7,1.4,10.0,1,2018
CartDe02,2TM,25,WR,14,4,25,22,88.0%,216,9.8,0,10,50,8.6,1.6,15.4,5,2018
ClemCo00,PHI,24,RB,11,0,25,22,88.0%,192,8.7,0,10,23,7.7,2.0,17.5,4,2018
CrooJa00,BUF,24,TE,15,3,35,22,62.9%,259,11.8,1,10,26,7.4,1.5,17.3,2,2018
FourLe00,JAX,23,RB,8,8,26,22,84.6%,185,8.4,1,10,31,7.1,2.8,23.1,0,2018
GesiMi00,MIA,23,TE,16,7,32,22,68.8%,202,9.2,0,9,27,6.3,1.4,12.6,1,2018
MurrLa00,MIN,28,RB,16,6,26,22,84.6%,141,6.4,0,7,16,5.4,1.4,8.8,0,2018
RobiDe01,KAN,24,WR,16,5,33,22,66.7%,288,13.1,4,12,89,8.7,1.4,18.0,0,2018
ClayCh00,BUF,29,TE,13,12,36,21,58.3%,184,8.8,0,11,21,5.1,1.6,14.2,1,2018
CrowIs00,NYJ,25,RB,13,6,28,21,75.0%,152,7.2,0,7,21,5.4,1.6,11.7,0,2018
GranJa00,MIA,26,WR,10,2,34,21,61.8%,268,12.8,2,13,52,7.9,2.1,26.8,0,2018
IngrMa01,NOR,29,RB,12,6,27,21,77.8%,170,8.1,1,5,28,6.3,1.8,14.2,3,2018
PattCo00,NWE,27,WR,15,5,28,21,75.0%,247,11.8,3,11,55,8.8,1.4,16.5,1,2018
RossJo00,CIN,23,WR,13,10,58,21,36.2%,210,10.0,7,13,39,3.6,1.6,16.2,0,2018
St.BEq00,GNB,22,WR,12,7,36,21,58.3%,328,15.6,0,13,54,9.1,1.8,27.3,0,2018
ToilLe00,DET,27,TE,16,10,24,21,87.5%,263,12.5,1,15,39,11.0,1.3,16.4,0,2018
AlliGe01,GNB,24,WR,5,4,30,20,66.7%,303,15.2,2,11,64,10.1,4.0,60.6,1,2018
BarbPe01,TAM,24,RB,16,16,29,20,69.0%,92,4.6,1,4,10,3.2,1.3,5.8,1,2018
BlueAl00,HOU,27,RB,16,2,27,20,74.1%,154,7.7,0,4,28,5.7,1.3,9.6,0,2018
CarsCh00,SEA,24,RB,14,14,24,20,83.3%,163,8.2,0,7,27,6.8,1.4,11.6,3,2018
ChubNi00,CLE,23,RB,16,9,29,20,69.0%,149,7.5,2,5,24,5.1,1.3,9.3,0,2018
EdmoCh00,ARI,22,RB,16,0,23,20,87.0%,103,5.2,0,5,13,4.5,1.3,6.4,1,2018
EricAl01,CIN,26,WR,16,6,29,20,69.0%,167,8.4,0,7,28,5.8,1.3,10.4,1,2018
HowaJo00,CHI,24,RB,16,15,26,20,76.9%,145,7.3,0,7,18,5.6,1.3,9.1,2,2018
HurnAl01,DAL,27,WR,16,7,35,20,57.1%,295,14.8,2,11,49,8.4,1.3,18.4,1,2018
MattJo00,PHI,26,WR,14,3,28,20,71.4%,300,15.0,2,14,56,10.7,1.4,21.4,0,2018
PeteAd01,WAS,33,RB,16,16,26,20,76.9%,208,10.4,1,9,52,8.0,1.3,13.0,3,2018
RichPa01,WAS,26,WR,7,4,35,20,57.1%,262,13.1,2,12,46,7.5,2.9,37.4,0,2018
2018,,,,,,,,,,,,,,,,,,
SmitJo01,TEN,23,TE,13,12,30,20,66.7%,258,12.9,3,10,61,8.6,1.5,19.8,1,2018
ThomJo05,HOU,22,TE,16,10,27,20,74.1%,215,10.8,4,12,39,8.0,1.3,13.4,0,2018
WareSp00,KAN,27,RB,13,2,23,20,87.0%,224,11.2,0,9,31,9.7,1.5,17.2,0,2018
BryaMa00,OAK,27,WR,8,2,27,19,70.4%,266,14.0,0,10,47,9.9,2.4,33.3,1,2018
FirkAn00,TEN,23,FB,12,0,20,19,95.0%,225,11.8,1,11,28,11.3,1.6,18.8,0,2018
GreeVi00,LAC,30,TE,16,16,27,19,70.4%,210,11.1,1,10,26,7.8,1.2,13.1,0,2018
JoneT.00,DET,26,WR,15,3,26,19,73.1%,190,10.0,2,10,26,7.3,1.3,12.7,0,2018
KendLa00,GNB,30,TE,16,3,25,19,76.0%,170,8.9,1,9,22,6.8,1.2,10.6,0,2018
McGuEl00,NYJ,24,RB,8,3,31,19,61.3%,193,10.2,1,10,20,6.2,2.4,24.1,2,2018
MoorCh00,BAL,25,WR,16,0,25,19,76.0%,196,10.3,1,8,30,7.8,1.2,12.3,0,2018
SherTr00,ARI,22,WR,13,2,28,19,67.9%,210,11.1,1,11,21,7.5,1.5,16.2,0,2018
MartDo00,OAK,29,RB,16,9,24,18,75.0%,116,6.4,0,6,23,4.8,1.1,7.3,3,2018
McKeIs00,2TM,23,WR,8,1,30,18,60.0%,179,9.9,0,10,23,6.0,2.3,22.4,2,2018
AkinJo00,HOU,26,TE,16,6,25,17,68.0%,225,13.2,0,11,28,9.0,1.1,14.1,0,2018
CannTr00,NYJ,24,RB,16,0,25,17,68.0%,144,8.5,0,4,35,5.8,1.1,9.0,0,2018
GinnTe00,NOR,33,WR,5,3,30,17,56.7%,209,12.3,2,10,42,7.0,3.4,41.8,1,2018
MackMa00,IND,22,RB,12,10,26,17,65.4%,103,6.1,1,3,29,4.0,1.4,8.6,2,2018
RobiAl00,MIN,30,WR,14,0,35,17,48.6%,231,13.6,5,12,40,6.6,1.2,16.5,0,2018
SmitTo02,CAR,29,WR,11,6,31,17,54.8%,190,11.2,2,12,35,6.1,1.5,17.3,0,2018
ThomDe04,2TM,29,WR,13,6,30,17,56.7%,161,9.5,0,10,15,5.4,1.3,12.4,0,2018
WillCh05,ARI,24,WR,10,7,46,17,37.0%,171,10.1,1,9,22,3.7,1.7,17.1,0,2018
BibbKa00,2TM,25,RB,12,0,23,16,69.6%,115,7.2,1,4,23,5.0,1.3,9.6,1,2018
FowlBe00,NYG,27,WR,10,5,27,16,59.3%,199,12.4,1,11,26,7.4,1.6,19.9,1,2018
HillJo02,NOR,28,TE,16,11,24,16,66.7%,185,11.6,1,11,23,7.7,1.0,11.6,0,2018
PerrBr02,CLE,25,WR,10,2,25,16,64.0%,340,21.3,2,13,66,13.6,1.6,34.0,0,2018
PryoTe00,2TM,29,,8,1,30,16,53.3%,252,15.8,2,11,44,8.4,2.0,31.5,0,2018
WashJa00,PIT,22,WR,14,6,38,16,42.1%,217,13.6,1,11,47,5.7,1.1,15.5,0,2018
WilkJo01,IND,24,RB,16,3,17,16,94.1%,85,5.3,0,2,17,5.0,1.0,5.3,2,2018
WillMa04,BAL,24,TE,13,6,17,16,94.1%,143,8.9,1,7,25,8.4,1.2,11.0,0,2018
