0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ThomMi05,NOR,25,WR,16,16,147,125,85.0%,1405,11.2,9,74,72,9.6,7.8,87.8,2,2018
ErtzZa00,PHI,28,TE,16,16,156,116,74.4%,1163,10.0,8,66,34,7.5,7.3,72.7,1,2018
HopkDe00,HOU,26,WR,16,16,163,115,70.6%,1572,13.7,11,81,49,9.6,7.2,98.3,2,2018
JoneJu02,ATL,29,WR,16,16,170,113,66.5%,1677,14.8,8,80,58,9.9,7.1,104.8,2,2018
ThieAd00,MIN,28,WR,16,16,153,113,73.9%,1373,12.2,9,74,68,9.0,7.1,85.8,1,2018
AdamDa01,GNB,26,WR,15,15,169,111,65.7%,1386,12.5,13,64,57,8.2,7.4,92.4,0,2018
SmitJu00,PIT,22,WR,16,13,166,111,66.9%,1426,12.8,7,67,97,8.6,6.9,89.1,1,2018
McCaCh01,CAR,22,RB,16,16,124,107,86.3%,867,8.1,6,41,38,7.0,6.7,54.2,4,2018
BrowAn04,PIT,30,WR,15,15,168,104,61.9%,1297,12.5,15,63,78,7.7,6.9,86.5,0,2018
KelcTr00,KAN,29,TE,16,16,150,103,68.7%,1336,13.0,10,68,43,8.9,6.4,83.5,2,2018
DiggSt00,MIN,25,WR,15,14,149,102,68.5%,1021,10.0,9,49,75,6.9,6.8,68.1,0,2018
AlleKe00,LAC,26,WR,16,14,136,97,71.3%,1196,12.3,6,62,54,8.8,6.1,74.8,3,2018
BarkSa00,NYG,21,RB,16,16,121,91,75.2%,721,7.9,4,30,57,6.0,5.7,45.1,0,2018
KittGe00,SFO,25,TE,16,16,136,88,64.7%,1377,15.6,5,60,85,10.1,5.5,86.1,0,2018
HillTy00,KAN,24,WR,16,16,137,87,63.5%,1479,17.0,12,60,75,10.8,5.4,92.4,0,2018
WhitJa02,NWE,26,RB,16,3,123,87,70.7%,751,8.6,7,38,42,6.1,5.4,46.9,0,2018
EvanMi00,TAM,25,WR,16,16,138,86,62.3%,1524,17.7,8,68,72,11.0,5.4,95.3,2,2018
WoodRo02,LAR,26,WR,16,16,130,86,66.2%,1219,14.2,6,66,39,9.4,5.4,76.2,0,2018
KamaAl00,NOR,23,RB,15,13,105,81,77.1%,709,8.8,4,31,42,6.8,5.4,47.3,1,2018
LandJa00,CLE,26,WR,16,14,149,81,54.4%,976,12.0,4,44,51,6.6,5.1,61.0,1,2018
CookBr00,LAR,25,WR,16,16,117,80,68.4%,1204,15.1,5,56,57,10.3,5.0,75.3,1,2018
BeckOd00,NYG,26,WR,12,12,124,77,62.1%,1052,13.7,6,50,51,8.5,6.4,87.7,2,2018
ElliEz00,DAL,23,RB,15,15,95,77,81.1%,567,7.4,3,22,38,6.0,5.1,37.8,6,2018
BoydTy00,CIN,24,WR,14,14,108,76,70.4%,1028,13.5,7,54,49,9.5,5.4,73.4,0,2018
HiltT.00,IND,29,WR,14,14,120,76,63.3%,1270,16.7,6,55,68,10.6,5.4,90.7,0,2018
HumpAd00,TAM,25,WR,16,10,105,76,72.4%,816,10.7,5,48,51,7.8,4.8,51.0,2,2018
CoopAm00,2TM,24,WR,15,15,107,75,70.1%,1005,13.4,7,53,90,9.4,5.0,67.0,2,2018
