0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
KuppCo00,LAR,28,WR,17,17,191,145,75.9%,1947,13.4,16,89,59,10.2,8.5,114.5,0,2021
AdamDa01,GNB,29,WR,16,16,169,123,72.8%,1553,12.6,11,84,59,9.2,7.7,97.1,0,2021
HillTy00,KAN,27,WR,17,16,159,111,69.8%,1239,11.2,9,75,75,7.8,6.5,72.9,2,2021
JeffJu00,MIN,22,WR,17,17,167,108,64.7%,1616,15.0,10,75,56,9.7,6.4,95.1,1,2021
AndrMa00,BAL,26,TE,17,9,153,107,69.9%,1361,12.7,9,75,43,8.9,6.3,80.1,1,2021
JohnDi01,PIT,25,WR,16,14,169,107,63.3%,1161,10.9,8,59,50,6.9,6.7,72.6,2,2021
AlleKe00,LAC,29,WR,16,16,157,106,67.5%,1138,10.7,6,66,42,7.2,6.6,71.1,1,2021
WaddJa00,MIA,23,WR,16,16,140,104,74.3%,1015,9.8,6,59,57,7.3,6.5,63.4,2,2021
DiggSt00,BUF,28,WR,17,17,164,103,62.8%,1225,11.9,10,66,61,7.5,6.1,72.1,1,2021
RenfHu00,LVR,26,WR,17,9,128,103,80.5%,1038,10.1,9,51,54,8.1,6.1,61.1,5,2021
GodwCh00,TAM,25,WR,14,14,127,98,77.2%,1103,11.3,5,55,44,8.7,7.0,78.8,2,2021
MoorD.00,CAR,24,WR,17,17,163,93,57.1%,1157,12.4,4,60,64,7.1,5.5,68.1,1,2021
KelcTr00,KAN,32,TE,16,16,134,92,68.7%,1125,12.2,9,63,69,8.4,5.8,70.3,1,2021
BrowMa04,BAL,24,WR,16,16,146,91,62.3%,1008,11.1,6,41,49,6.9,5.7,63.0,3,2021
CookBr00,HOU,28,WR,16,16,134,90,67.2%,1037,11.5,6,45,52,7.7,5.6,64.8,0,2021
StxxAm00,DET,22,WR,17,9,119,90,75.6%,912,10.1,5,48,37,7.7,5.3,53.6,0,2021
PittMi01,IND,24,WR,17,17,129,88,68.2%,1082,12.3,6,54,57,8.4,5.2,63.6,1,2021
MeyeJa01,NWE,25,WR,17,16,126,83,65.9%,866,10.4,2,42,39,6.9,4.9,50.9,1,2021
BeasCo00,BUF,32,WR,16,8,112,82,73.2%,693,8.5,1,34,29,6.2,5.1,43.3,1,2021
ChasJa00,CIN,21,WR,17,17,128,81,63.3%,1455,18.0,13,56,82,11.4,4.8,85.6,2,2021
MoonDa00,CHI,24,WR,17,14,140,81,57.9%,1055,13.0,4,49,64,7.5,4.8,62.1,0,2021
LambCe00,DAL,22,WR,16,13,120,79,65.8%,1102,13.9,6,54,49,9.2,4.9,68.9,0,2021
SchuDa00,DAL,25,TE,17,15,104,78,75.0%,808,10.4,8,43,32,7.8,4.6,47.5,0,2021
KirkCh01,ARI,25,WR,17,11,103,77,74.8%,982,12.8,5,44,50,9.5,4.5,57.8,0,2021
McLaTe00,WAS,26,WR,17,17,130,77,59.2%,1053,13.7,5,47,46,8.1,4.5,61.9,0,2021
SamuDe00,SFO,25,WR,16,15,121,77,63.6%,1405,18.2,6,51,83,11.6,4.8,87.8,4,2021
WillMi07,LAC,27,WR,16,14,129,76,58.9%,1146,15.1,9,51,72,8.9,4.8,71.6,0,2021
MetcDK00,SEA,24,WR,17,17,129,75,58.1%,967,12.9,12,48,84,7.5,4.4,56.9,1,2021
ErtzZa00,2TM,31,TE,17,14,112,74,66.1%,763,10.3,5,40,47,6.8,4.4,44.9,0,2021
2021,,,,,,,,,,,,,,,,,,
EvanMi00,TAM,28,WR,16,16,114,74,64.9%,1035,14.0,14,56,46,9.1,4.6,64.7,0,2021
HarrNa00,PIT,23,RB,17,17,94,74,78.7%,467,6.3,3,22,25,5.0,4.4,27.5,0,2021
HiggTe00,CIN,22,WR,14,14,110,74,67.3%,1091,14.7,6,53,54,9.9,5.3,77.9,1,2021
GesiMi00,MIA,26,TE,17,9,112,73,65.2%,780,10.7,2,39,40,7.0,4.3,45.9,0,2021
JoneMa02,JAX,31,WR,17,16,120,73,60.8%,832,11.4,4,42,33,6.9,4.3,48.9,0,2021
LockTy00,SEA,29,WR,16,16,107,73,68.2%,1175,16.1,8,41,69,11.0,4.6,73.4,0,2021
KittGe00,SFO,28,TE,14,14,94,71,75.5%,910,12.8,6,42,48,9.7,5.1,65.0,2,2021
EkelAu00,LAC,26,RB,16,16,94,70,74.5%,647,9.2,8,31,40,6.9,4.4,40.4,4,2021
FourLe00,TAM,26,RB,14,13,84,69,82.1%,454,6.6,2,30,23,5.4,4.9,32.4,1,2021
CoopAm00,DAL,27,WR,15,14,104,68,65.4%,865,12.7,8,45,41,8.3,4.5,57.7,1,2021
FantNo00,DEN,24,TE,16,16,90,68,75.6%,670,9.9,4,29,35,7.4,4.3,41.9,0,2021
PittKy00,ATL,21,TE,17,15,110,68,61.8%,1026,15.1,1,43,61,9.3,4.0,60.4,0,2021
BoydTy00,CIN,27,WR,16,10,94,67,71.3%,828,12.4,5,37,68,8.8,4.2,51.8,1,2021
ThieAd00,MIN,31,WR,13,13,95,67,70.5%,726,10.8,10,37,35,7.6,5.2,55.8,1,2021
GageRu00,ATL,25,WR,14,9,94,66,70.2%,770,11.7,4,37,49,8.2,4.7,55.0,2,2021
SmitDe07,PHI,23,WR,17,16,104,64,61.5%,916,14.3,5,43,46,8.8,3.8,53.9,1,2021
BrowAJ00,TEN,24,WR,13,13,105,63,60.0%,869,13.8,5,45,57,8.3,4.8,66.8,0,2021
ShenLa00,JAX,23,WR,16,10,100,63,63.0%,619,9.8,0,30,58,6.2,3.9,38.7,1,2021
SwifDA00,DET,22,RB,13,4,78,62,79.5%,452,7.3,2,18,63,5.8,4.8,34.8,2,2021
ConkTy00,MIN,26,TE,17,15,87,61,70.1%,593,9.7,3,26,40,6.8,3.6,34.9,1,2021
HigbTy00,LAR,28,TE,15,15,85,61,71.8%,560,9.2,5,33,37,6.6,4.1,37.3,1,2021
HockTJ00,DET,24,TE,12,12,84,61,72.6%,583,9.6,4,32,33,6.9,5.1,48.6,0,2021
FreiPa00,PIT,23,TE,16,9,79,60,75.9%,497,8.3,7,34,24,6.3,3.8,31.1,1,2021
KmetCo00,CHI,22,TE,17,17,93,60,64.5%,612,10.2,0,29,25,6.6,3.5,36.0,0,2021
ClayCh01,PIT,23,WR,15,13,105,59,56.2%,860,14.6,2,35,59,8.2,3.9,57.3,0,2021
HardMe00,KAN,23,WR,17,8,83,59,71.1%,693,11.7,2,33,53,8.3,3.5,40.8,3,2021
SuttCo00,DEN,26,WR,17,16,98,58,59.2%,776,13.4,2,35,55,7.9,3.4,45.6,0,2021
AiyuBr00,SFO,23,WR,17,16,84,56,66.7%,826,14.8,5,37,43,9.8,3.3,48.6,2,2021
GoedDa00,PHI,26,TE,15,14,76,56,73.7%,830,14.8,4,42,45,10.9,3.7,55.3,1,2021
BourKe00,NWE,26,WR,17,5,70,55,78.6%,800,14.5,5,27,75,11.4,3.2,47.1,1,2021
2021,,,,,,,,,,,,,,,,,,
GronRo00,TAM,32,TE,12,12,89,55,61.8%,802,14.6,6,34,42,9.0,4.6,66.8,0,2021
WallDa01,LVR,29,TE,11,11,93,55,59.1%,665,12.1,2,31,33,7.2,5.0,60.5,0,2021
GreeA.00,ARI,33,WR,16,9,92,54,58.7%,848,15.7,3,37,42,9.2,3.4,53.0,0,2021
JacoJo01,LVR,23,RB,15,14,64,54,84.4%,348,6.4,0,14,29,5.4,3.6,23.2,2,2021
MoorRo02,ARI,21,WR,14,7,64,54,84.4%,435,8.1,1,18,77,6.8,3.9,31.1,3,2021
AndeRo04,CAR,28,WR,17,16,110,53,48.2%,519,9.8,5,27,57,4.7,3.1,30.5,0,2021
PatrTi00,DEN,28,WR,16,16,85,53,62.4%,734,13.8,5,39,44,8.6,3.3,45.9,0,2021
JoneAa00,GNB,27,RB,15,15,65,52,80.0%,391,7.5,6,22,26,6.0,3.5,26.1,2,2021
LandJa00,CLE,29,WR,12,12,87,52,59.8%,570,11.0,2,30,38,6.6,4.3,47.5,3,2021
PattCo00,ATL,30,RB,16,13,69,52,75.4%,548,10.5,5,26,64,7.9,3.3,34.3,2,2021
CrowJa00,NYJ,28,WR,12,4,71,51,71.8%,447,8.8,2,24,29,6.3,4.3,37.3,1,2021
HenrHu00,NWE,27,TE,17,10,75,50,66.7%,603,12.1,9,34,35,8.0,2.9,35.5,0,2021
JeffVa00,LAR,25,WR,17,17,89,50,56.2%,802,16.0,6,32,79,9.0,2.9,47.2,0,2021
OsboKJ00,MIN,24,WR,17,9,82,50,61.0%,655,13.1,7,26,64,8.0,2.9,38.5,0,2021
GaskMy00,MIA,24,RB,17,10,63,49,77.8%,234,4.8,4,13,24,3.7,2.9,13.8,2,2021
KnoxDa00,BUF,25,TE,15,14,71,49,69.0%,587,12.0,9,31,53,8.3,3.3,39.1,0,2021
UzomC.00,CIN,28,TE,16,16,63,49,77.8%,493,10.1,5,24,55,7.8,3.1,30.8,0,2021
CookJa02,LAC,34,TE,16,10,83,48,57.8%,564,11.8,4,31,42,6.8,3.0,35.3,0,2021
EverGe00,SEA,27,TE,15,12,63,48,76.2%,478,10.0,4,26,41,7.6,3.2,31.9,2,2021
RaymKa00,DET,27,WR,16,14,71,48,67.6%,576,12.0,4,28,75,8.1,3.0,36.0,0,2021
ElliEz00,DAL,26,RB,17,17,65,47,72.3%,287,6.1,2,17,21,4.4,2.8,16.9,1,2021
JoneZa00,LVR,26,WR,17,9,70,47,67.1%,546,11.6,1,29,43,7.8,2.8,32.1,1,2021
KamaAl00,NOR,26,RB,13,10,67,47,70.1%,439,9.3,5,20,31,6.6,3.6,33.8,0,2021
WillDa10,KAN,26,RB,17,7,57,47,82.5%,452,9.6,2,19,38,7.9,2.8,26.6,0,2021
BateRa00,BAL,22,WR,12,4,68,46,67.6%,515,11.2,1,29,36,7.6,3.8,42.9,0,2021
BerrBr00,NYJ,26,WR,16,1,65,46,70.8%,431,9.4,2,21,46,6.6,2.9,26.9,1,2021
CallMa01,NOR,23,WR,17,11,84,46,54.8%,698,15.2,6,32,58,8.3,2.7,41.1,0,2021
EngrEv00,NYG,27,TE,15,12,73,46,63.0%,408,8.9,3,21,30,5.6,3.1,27.2,1,2021
WilsCe01,DAL,26,WR,16,4,61,45,73.8%,602,13.4,6,27,73,9.9,2.8,37.6,3,2021
WoodRo02,LAR,29,WR,9,9,69,45,65.2%,556,12.4,4,34,28,8.1,5.0,61.8,0,2021
2021,,,,,,,,,,,,,,,,,,
BeckOd00,2TM,29,WR,14,13,82,44,53.7%,537,12.2,5,27,54,6.5,3.1,38.4,0,2021
DaviMi01,ATL,28,RB,17,8,58,44,75.9%,259,5.9,1,12,20,4.5,2.6,15.2,4,2021
EdmoCh00,ARI,25,RB,12,11,53,43,81.1%,311,7.2,0,11,36,5.9,3.6,25.9,1,2021
McKiJ.00,WAS,28,WR,11,3,53,43,81.1%,397,9.2,2,15,56,7.5,3.9,36.1,0,2021
MoorEl00,NYJ,21,WR,11,6,77,43,55.8%,538,12.5,5,24,62,7.0,3.9,48.9,0,2021
WatkQu00,PHI,23,WR,17,12,62,43,69.4%,647,15.0,1,25,91,10.4,2.5,38.1,0,2021
WillJa10,DEN,21,RB,17,1,53,43,81.1%,316,7.3,3,12,42,6.0,2.5,18.6,2,2021
BrowAn04,TAM,33,WR,7,3,62,42,67.7%,545,13.0,4,29,62,8.8,6.0,77.9,0,2021
GibsAn00,WAS,23,RB,16,14,52,42,80.8%,294,7.0,3,12,73,5.7,2.6,18.4,6,2021
HopkDe00,ARI,29,WR,10,10,64,42,65.6%,572,13.6,8,32,55,8.9,4.2,57.2,0,2021
MixoJo00,CIN,25,RB,16,16,48,42,87.5%,314,7.5,3,11,52,6.5,2.6,19.6,2,2021
MontDa01,CHI,24,RB,13,13,51,42,82.4%,301,7.2,0,18,16,5.9,3.2,23.2,1,2021
PrinBy00,KAN,28,WR,17,5,60,42,70.0%,568,13.5,5,32,40,9.5,2.5,33.4,2,2021
SandEm00,BUF,34,WR,14,13,72,42,58.3%,626,14.9,4,31,41,8.7,3.0,44.7,0,2021
BarkSa00,NYG,24,RB,13,13,57,41,71.9%,263,6.4,2,13,54,4.6,3.2,20.2,2,2021
BoldBr00,NWE,31,RB,17,1,49,41,83.7%,405,9.9,2,21,28,8.3,2.4,23.8,1,2021
HumpAd00,WAS,28,WR,17,11,62,41,66.1%,383,9.3,0,23,27,6.2,2.4,22.5,0,2021
BookDe00,NYG,29,RB,16,4,45,40,88.9%,268,6.7,1,11,41,6.0,2.5,16.8,0,2021
HineNy00,IND,25,RB,17,4,57,40,70.2%,310,7.8,1,15,36,5.4,2.4,18.2,3,2021
LazaAl00,GNB,26,WR,15,13,60,40,66.7%,513,12.8,8,28,42,8.6,2.7,34.2,0,2021
ParkDe01,MIA,28,WR,10,8,73,40,54.8%,515,12.9,2,29,42,7.1,4.0,51.5,0,2021
SingDe00,BUF,24,RB,17,16,50,40,80.0%,228,5.7,1,11,19,4.6,2.4,13.4,5,2021
TaylJo02,IND,22,RB,17,17,51,40,78.4%,360,9.0,2,12,76,7.1,2.4,21.2,4,2021
McClRa00,PIT,25,WR,16,5,66,39,59.1%,277,7.1,0,18,24,4.2,2.4,17.3,4,2021
PollTo00,DAL,24,RB,15,0,46,39,84.8%,337,8.6,0,15,32,7.3,2.6,22.5,2,2021
ToneKa00,NYG,22,WR,10,4,57,39,68.4%,420,10.8,0,21,38,7.4,3.9,42.0,0,2021
AbduAm00,2TM,28,RB,17,1,53,38,71.7%,289,7.6,1,13,23,5.5,2.2,17.0,0,2021
HoopAu00,CLE,27,TE,16,16,61,38,62.3%,345,9.1,3,18,34,5.7,2.4,21.6,0,2021
JeudJe00,DEN,22,WR,10,5,56,38,67.9%,467,12.3,0,22,40,8.3,3.8,46.7,1,2021
PascZa00,IND,27,WR,16,13,69,38,55.1%,384,10.1,3,16,41,5.6,2.4,24.0,1,2021
2021,,,,,,,,,,,,,,,,,,
RobiAl02,CHI,28,WR,12,11,66,38,57.6%,410,10.8,1,22,39,6.2,3.2,34.2,0,2021
WestNi00,TEN,24,WR,16,7,57,38,66.7%,476,12.5,4,23,46,8.4,2.4,29.8,1,2021
AghoNe00,NWE,28,WR,15,13,64,37,57.8%,473,12.8,3,23,44,7.4,2.5,31.5,0,2021
ConnJa00,ARI,26,RB,15,6,39,37,94.9%,375,10.1,3,18,45,9.6,2.5,25.0,2,2021
GollKe00,NYG,28,WR,14,14,76,37,48.7%,521,14.1,0,27,36,6.9,2.6,37.2,0,2021
McCaCh01,CAR,25,RB,7,7,41,37,90.2%,343,9.3,1,21,32,8.4,5.3,49.0,1,2021
CartMi03,NYJ,22,RB,14,11,55,36,65.5%,325,9.0,0,16,23,5.9,2.6,23.2,1,2021
HarrDe07,NOR,24,WR,13,1,59,36,61.0%,570,15.8,3,23,72,9.7,2.8,43.8,2,2021
JohnTy00,TAM,23,WR,17,3,55,36,65.5%,360,10.0,0,14,31,6.5,2.1,21.2,0,2021
NjokDa00,CLE,25,TE,16,11,53,36,67.9%,475,13.2,4,17,71,9.0,2.3,29.7,0,2021
ShepSt00,NYG,28,WR,7,6,53,36,67.9%,366,10.2,1,19,37,6.9,5.1,52.3,0,2021
ArnoDa00,2TM,26,WR,11,4,52,35,67.3%,408,11.7,0,20,28,7.8,3.2,37.1,1,2021
DaviGa01,BUF,22,WR,16,4,63,35,55.6%,549,15.7,6,29,49,8.7,2.2,34.3,0,2021
