0,1,2,3,4,5,6,7
JeffJu00,Justin Jefferson,MIN,23,WR,17,17,2022
HillTy00,Tyreek Hill,MIA,28,WR,17,17,2022
KelcTr00,Travis Kelce,KAN,33,TE,17,17,2022
DiggSt00,Stefon Diggs,BUF,29,WR,16,16,2022
EkelAu00,Austin Ekeler,LAC,27,RB,17,17,2022
LambCe00,CeeDee Lamb,DAL,23,WR,17,17,2022
StxxAm00,Amon-Ra St. Brown,DET,23,WR,16,16,2022
GodwCh00,Chris Godwin,TAM,26,WR,15,13,2022
AdamDa01,Davante Adams,LVR,30,WR,17,17,2022
PittMi01,Michael Pittman Jr.,IND,25,WR,16,16,2022
SmitDe07,DeVonta Smith,PHI,24,WR,17,17,2022
MetcDK00,D.K. Metcalf,SEA,25,WR,17,17,2022
BrowAJ00,A.J. Brown,PHI,25,WR,17,16,2022
ChasJa00,Ja'Marr Chase,CIN,22,WR,12,12,2022
HockTJ00,T.J. Hockenson,2TM,25,TE,17,14,2022
JohnDi01,Diontae Johnson,PIT,26,WR,17,17,2022
McCaCh01,Christian McCaffrey,2TM,26,RB,17,16,2022
KirkCh01,Christian Kirk,JAX,26,WR,17,17,2022
LockTy00,Tyler Lockett,SEA,30,WR,16,16,2022
WilsGa00,Garrett Wilson,NYJ,22,WR,17,12,2022
JoneZa00,Zay Jones,JAX,27,WR,16,15,2022
AiyuBr00,Brandon Aiyuk,SFO,24,WR,17,17,2022
CoopAm00,Amari Cooper,CLE,28,WR,17,17,2022
SmitJu00,JuJu Smith-Schuster,KAN,26,WR,16,14,2022
EvanMi00,Mike Evans,TAM,29,WR,15,15,2022
McLaTe00,Terry McLaurin,WAS,27,WR,17,17,2022
KuppCo00,Cooper Kupp,LAR,29,WR,9,9,2022
WaddJa00,Jaylen Waddle,MIA,24,WR,17,17,2022
HiggTe00,Tee Higgins,CIN,23,WR,16,14,2022
2022,,,,,,,
AndrMa00,Mark Andrews,BAL,27,TE,15,15,2022
EngrEv00,Evan Engram,JAX,28,TE,17,14,2022
FourLe00,Leonard Fournette,TAM,27,RB,16,9,2022
HigbTy00,Tyler Higbee,LAR,29,TE,17,17,2022
LondDr00,Drake London,ATL,21,WR,17,15,2022
OlavCh00,Chris Olave,NOR,22,WR,15,9,2022
PalmJo00,Josh Palmer,LAC,24,WR,16,11,2022
ThieAd00,Adam Thielen,MIN,32,WR,17,17,2022
StevRh00,Rhamondre Stevenson,NWE,24,RB,17,7,2022
BrowMa04,Marquise Brown,ARI,25,WR,12,10,2022
JeudJe00,Jerry Jeudy,DEN,23,WR,15,14,2022
MeyeJa01,Jakobi Meyers,NWE,26,WR,14,13,2022
AlleKe00,Keenan Allen,LAC,30,WR,10,10,2022
HopkDe00,DeAndre Hopkins,ARI,30,WR,9,9,2022
SamuCu00,Curtis Samuel,WAS,26,WR,17,12,2022
SuttCo00,Courtland Sutton,DEN,27,WR,15,15,2022
CampPa00,Parris Campbell,IND,25,WR,17,16,2022
FreiPa00,Pat Freiermuth,PIT,24,TE,16,8,2022
MoorD.00,D.J. Moore,CAR,25,WR,17,17,2022
WillMi07,Mike Williams,LAC,28,WR,13,13,2022
PeopDo00,Donovan Peoples-Jones,CLE,23,WR,17,14,2022
KittGe00,George Kittle,SFO,29,TE,15,15,2022
LazaAl00,Allen Lazard,GNB,27,WR,15,15,2022
MixoJo00,Joe Mixon,CIN,26,RB,14,14,2022
OsboKJ00,K.J. Osborn,MIN,25,WR,17,9,2022
JoneAa00,Aaron Jones,GNB,28,RB,17,17,2022
BoydTy00,Tyler Boyd,CIN,28,WR,16,14,2022
ConkTy00,Tyler Conklin,NYJ,27,TE,17,16,2022
EverGe00,Gerald Everett,LAC,28,TE,16,11,2022
NjokDa00,David Njoku,CLE,26,TE,14,14,2022
2022,,,,,,,
BarkSa00,Saquon Barkley,NYG,25,RB,16,16,2022
CookBr00,Brandin Cooks,HOU,29,WR,13,13,2022
HollMa00,Mack Hollins,LVR,29,WR,17,16,2022
JameRi00,Richie James,NYG,27,WR,17,4,2022
KamaAl00,Alvin Kamara,NOR,27,RB,15,13,2022
SchuDa00,Dalton Schultz,DAL,26,TE,15,15,2022
McKiJe00,Jerick McKinnon,KAN,30,RB,17,0,2022
SamuDe00,Deebo Samuel,SFO,26,WR,13,12,2022
GoedDa00,Dallas Goedert,PHI,27,TE,12,12,2022
JacoJo01,Josh Jacobs,LVR,24,RB,17,17,2022
TonyRo00,Robert Tonyan,GNB,28,TE,17,3,2022
WoodRo02,Robert Woods,TEN,30,WR,17,15,2022
DortGr01,Greg Dortch,ARI,24,WR,16,4,2022
HursHa00,Hayden Hurst,CIN,29,TE,13,13,2022
PickGe00,George Pickens,PIT,21,WR,17,12,2022
GageRu00,Russell Gage,TAM,26,WR,13,4,2022
FantNo00,Noah Fant,SEA,25,TE,17,16,2022
KmetCo00,Cole Kmet,CHI,23,TE,17,17,2022
WhitRa01,Rachaad White,TAM,23,RB,17,8,2022
DaviGa01,Gabriel Davis,BUF,23,WR,15,15,2022
KnoxDa00,Dawson Knox,BUF,26,TE,15,15,2022
MoorCh00,Chris Moore,HOU,29,WR,16,7,2022
RobiDe01,Demarcus Robinson,BAL,28,WR,17,5,2022
SwifDA00,D'Andre Swift,DET,23,RB,14,8,2022
ErtzZa00,Zach Ertz,ARI,32,TE,10,10,2022
RaymKa00,Kalif Raymond,DET,28,WR,17,7,2022
CartDe02,DeAndre Carter,LAC,29,WR,17,7,2022
ClayCh01,Chase Claypool,2TM,24,WR,15,11,2022
ConnJa00,James Conner,ARI,27,RB,13,13,2022
GibsAn00,Antonio Gibson,WAS,24,RB,15,6,2022
2022,,,,,,,
JoneMa02,Marvin Jones,JAX,32,WR,16,10,2022
SlayDa01,Darius Slayton,NYG,25,WR,16,11,2022
BrowNo00,Noah Brown,DAL,26,WR,16,13,2022
DoubRo00,Romeo Doubs,GNB,22,WR,13,7,2022
JohnJu02,Juwan Johnson,NOR,26,TE,16,12,2022
McKeIs00,Isaiah McKenzie,BUF,27,WR,15,8,2022
OttoCa00,Cade Otton,TAM,23,TE,16,11,2022
ValdMa00,Marquez Valdes-Scantling,KAN,28,WR,17,11,2022
CartMi03,Michael Carter,NYJ,23,RB,16,10,2022
HarrNa00,Najee Harris,PIT,24,RB,17,17,2022
HenrHu00,Hunter Henry,NWE,28,TE,17,14,2022
HoopAu00,Austin Hooper,TEN,28,TE,17,2,2022
MoorRo02,Rondale Moore,ARI,22,WR,8,8,2022
PierAl00,Alec Pierce,IND,22,WR,16,12,2022
WatsCh00,Christian Watson,GNB,23,WR,14,11,2022
MoonDa00,Darnell Mooney,CHI,25,WR,12,12,2022
ZaccOl01,Olamide Zaccheaus,ATL,25,WR,17,13,2022
CookDa01,Dalvin Cook,MIN,27,RB,17,17,2022
GallMi00,Michael Gallup,DAL,26,WR,14,11,2022
PollTo00,Tony Pollard,DAL,25,RB,16,4,2022
SkowBe00,Ben Skowronek,LAR,25,WR,14,11,2022
ThomLo00,Logan Thomas,WAS,31,TE,14,13,2022
PeriSa00,Samaje Perine,CIN,27,RB,16,2,2022
ReynJo00,Josh Reynolds,DET,27,WR,14,11,2022
SingDe00,Devin Singletary,BUF,25,RB,16,16,2022
