0,1,2,3,4,5,6,7
ThomMi05,Michael Thomas,NOR,26,WR,16,15,2019
McCaCh01,Christian McCaffrey,CAR,23,RB,16,16,2019
AlleKe00,Keenan Allen,LAC,27,WR,16,16,2019
HopkDe00,DeAndre Hopkins,HOU,27,WR,15,15,2019
EdelJu00,Julian Edelman,NWE,33,WR,16,13,2019
JoneJu02,Julio Jones,ATL,30,WR,15,15,2019
RobiAl02,Allen Robinson,CHI,26,WR,16,15,2019
KelcTr00,Travis Kelce,KAN,30,TE,16,16,2019
KuppCo00,Cooper Kupp,LAR,26,WR,16,14,2019
EkelAu00,Austin Ekeler,LAC,24,RB,16,8,2019
BoydTy00,Tyler Boyd,CIN,25,WR,16,15,2019
WallDa01,Darren Waller,OAK,27,TE,16,16,2019
WoodRo02,Robert Woods,LAR,27,WR,15,15,2019
ErtzZa00,Zach Ertz,PHI,29,TE,15,15,2019
MoorD.00,D.J. Moore,CAR,22,WR,15,15,2019
GodwCh00,Chris Godwin,TAM,23,WR,14,14,2019
KittGe00,George Kittle,SFO,26,TE,14,14,2019
AdamDa01,Davante Adams,GNB,27,WR,12,12,2019
LandJa00,Jarvis Landry,CLE,27,WR,16,16,2019
LockTy00,Tyler Lockett,SEA,27,WR,16,16,2019
KamaAl00,Alvin Kamara,NOR,24,RB,14,9,2019
CoheTa00,Tarik Cohen,CHI,24,RB,16,11,2019
CoopAm00,Amari Cooper,DAL,25,WR,16,16,2019
CrowJa00,Jamison Crowder,NYJ,26,WR,16,12,2019
FourLe00,Leonard Fournette,JAX,24,RB,15,15,2019
FitzLa00,Larry Fitzgerald,ARI,36,WR,16,16,2019
HoopAu00,Austin Hooper,ATL,25,TE,13,10,2019
BeckOd00,Odell Beckham Jr.,CLE,27,WR,16,15,2019
CharDJ00,DJ Chark,JAX,23,WR,15,14,2019
2019,,,,,,,
BrowJo02,John Brown,BUF,29,WR,15,15,2019
ParkDe01,DeVante Parker,MIA,26,WR,16,14,2019
SuttCo00,Courtland Sutton,DEN,24,WR,16,14,2019
WhitJa02,James White,NWE,27,RB,15,1,2019
HigbTy00,Tyler Higbee,LAR,26,TE,15,15,2019
KirkCh01,Christian Kirk,ARI,23,WR,13,13,2019
BeasCo00,Cole Beasley,BUF,30,WR,15,10,2019
EvanMi00,Mike Evans,TAM,26,WR,13,13,2019
BellLe00,Le'Veon Bell,NYJ,27,RB,15,15,2019
GallMi00,Michael Gallup,DAL,23,WR,14,12,2019
SandEm00,Emmanuel Sanders,2TM,32,WR,17,16,2019
WestDe00,Dede Westbrook,JAX,26,WR,15,11,2019
GollKe00,Kenny Golladay,DET,26,WR,16,16,2019
AndrMa00,Mark Andrews,BAL,24,TE,15,4,2019
DiggSt00,Stefon Diggs,MIN,26,WR,15,15,2019
RidlCa00,Calvin Ridley,ATL,25,WR,13,10,2019
WittJa00,Jason Witten,DAL,37,TE,16,16,2019
AmenDa00,Danny Amendola,DET,34,WR,15,10,2019
JoneMa02,Marvin Jones,DET,29,WR,13,11,2019
FreeDe00,Devonta Freeman,ATL,27,RB,14,14,2019
JohnDi01,Diontae Johnson,PIT,23,WR,16,12,2019
SanuMo00,Mohamed Sanu,2TM,30,WR,15,12,2019
GoedDa00,Dallas Goedert,PHI,24,TE,15,9,2019
HillTy00,Tyreek Hill,KAN,25,WR,12,12,2019
McLaTe00,Terry McLaurin,WAS,24,WR,14,14,2019
MetcDK00,D.K. Metcalf,SEA,22,WR,16,15,2019
SamuDe00,Deebo Samuel,SFO,23,WR,15,11,2019
ShepSt00,Sterling Shepard,NYG,26,WR,10,10,2019
CobbRa00,Randall Cobb,DAL,29,WR,15,6,2019
HenrHu00,Hunter Henry,LAC,25,TE,12,12,2019
2019,,,,,,,
ElliEz00,Ezekiel Elliott,DAL,24,RB,16,16,2019
SamuCu00,Curtis Samuel,CAR,23,WR,16,15,2019
CookDa01,Dalvin Cook,MIN,24,RB,14,14,2019
AndeRo04,Chosen Anderson,NYJ,26,WR,16,15,2019
BarkSa00,Saquon Barkley,NYG,22,RB,13,13,2019
BrowAJ00,A.J. Brown,TEN,22,WR,16,11,2019
MillAn02,Anthony Miller,CHI,25,WR,16,7,2019
OlseGr00,Greg Olsen,CAR,34,TE,14,14,2019
WatkSa00,Sammy Watkins,KAN,26,WR,14,13,2019
GesiMi00,Mike Gesicki,MIA,24,TE,16,5,2019
