0,1,2,3,4,5,6,7
BradTo00,Tom Brady,TAM,44,QB,17,17,2021
HerbJu00,Justin Herbert,LAC,23,QB,17,17,2021
StafMa00,Matthew Stafford,LAR,33,QB,17,17,2021
MahoPa00,Patrick Mahomes,KAN,26,QB,17,17,2021
CarrDe02,Derek Carr,LVR,30,QB,17,17,2021
BurrJo01,Joe Burrow,CIN,25,QB,16,16,2021
PresDa01,Dak Prescott,DAL,28,QB,16,16,2021
AlleJo02,Josh Allen,BUF,25,QB,17,17,2021
CousKi00,Kirk Cousins,MIN,33,QB,16,16,2021
RodgAa00,Aaron Rodgers,GNB,38,QB,16,16,2021
RyanMa00,Matt Ryan,ATL,36,QB,17,17,2021
GaroJi00,Jimmy Garoppolo,SFO,30,QB,15,15,2021
JoneMa05,Mac Jones,NWE,23,QB,17,17,2021
MurrKy00,Kyler Murray,ARI,24,QB,14,14,2021
RoetBe00,Ben Roethlisberger,PIT,39,QB,16,16,2021
TannRy00,Ryan Tannehill,TEN,33,QB,17,17,2021
LawrTr00,Trevor Lawrence,JAX,22,QB,17,17,2021
WentCa00,Carson Wentz,IND,29,QB,17,17,2021
HeinTa00,Taylor Heinicke,WAS,28,QB,16,15,2021
GoffJa00,Jared Goff,DET,27,QB,14,14,2021
HurtJa00,Jalen Hurts,PHI,23,QB,15,15,2021
WilsRu00,Russell Wilson,SEA,33,QB,14,14,2021
BridTe00,Teddy Bridgewater,DEN,29,QB,14,14,2021
MayfBa00,Baker Mayfield,CLE,26,QB,14,14,2021
JackLa00,Lamar Jackson,BAL,24,QB,12,12,2021
MillDa02,Davis Mills,HOU,23,QB,13,11,2021
TagoTu00,Tua Tagovailoa,MIA,23,QB,13,12,2021
DarnSa00,Sam Darnold,CAR,24,QB,12,11,2021
JoneDa05,Daniel Jones,NYG,24,QB,11,11,2021
2021,,,,,,,
WilsZa00,Zach Wilson,NYJ,22,QB,13,13,2021
FielJu00,Justin Fields,CHI,22,QB,12,10,2021
DaltAn00,Andy Dalton,CHI,34,QB,8,6,2021
BrisJa00,Jacoby Brissett,MIA,29,QB,11,5,2021
WinsJa00,Jameis Winston,NOR,27,QB,7,7,2021
SiemTr00,Trevor Siemian,NOR,30,QB,6,4,2021
HuntTy01,Tyler Huntley,BAL,23,QB,7,4,2021
HillTa00,Taysom Hill,NOR,31,QB,12,9,2021
TaylTy00,Tyrod Taylor,HOU,32,QB,6,6,2021
