0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,ReynCr00,JAX,24,RB,2,0,1,4,0,0,4,4.0,2.0,0,2020
,ReynJo00,LAR,25,WR,16,13,1,5,0,0,5,5.0,0.3,2,2020
,RicaPa00,BAL,26,FB,15,10,1,-1,0,0,-1,-1.0,-0.1,1,2020
,RobeAn00,BUF,32,WR,15,0,1,-3,0,0,-3,-3.0,-0.2,3,2020
,RobiAl02,CHI,27,WR,16,16,1,-1,0,0,-1,-1.0,-0.1,0,2020
,SandEm00,NOR,33,WR,14,5,1,12,0,1,12,12.0,0.9,1,2020
,SanuMo00,2TM,31,WR,10,4,1,3,0,1,3,3.0,0.3,0,2020
,SimsCa00,WAS,24,WR,16,10,1,5,0,0,5,5.0,0.3,1,2020
,SimsSt00,WAS,23,WR,12,2,1,18,0,1,18,18.0,1.5,4,2020
,SkurMa01,BAL,27,C,15,12,1,0,0,0,0,0.0,0.0,4,2020
,SmitTr03,NOR,24,WR,14,10,1,3,0,0,3,3.0,0.2,1,2020
,St.BEq00,GNB,24,WR,12,1,1,7,0,1,7,7.0,0.6,0,2020
,2020,,,,,,,,,,,,,,
,SticEa00,LAC,25,QB,1,0,1,-2,0,0,-2,-2.0,-2.0,0,2020
,TaylMa01,GNB,25,WR,15,1,1,9,0,0,9,9.0,0.6,0,2020
,ThomMi05,NOR,27,WR,7,5,1,1,0,0,1,1.0,0.1,0,2020
,ThomMi04,CIN,26,WR,14,0,1,1,0,0,1,1.0,0.1,1,2020
,ThomDa05,DAL,27,SS,15,7,1,3,0,0,3,3.0,0.2,0,2020
,WaltAu00,SFO,24,RB,4,0,1,3,0,0,3,3.0,0.8,0,2020
,WatkSa00,KAN,27,WR,10,9,1,3,0,0,3,3.0,0.3,1,2020
,WescTr00,NYJ,25,TE,12,4,1,0,0,0,0,0.0,0.0,0,2020
,WillJo07,DET,26,RB,5,0,1,5,0,0,5,5.0,1.0,1,2020
,WillMi07,LAC,26,WR,15,11,1,1,0,0,1,1.0,0.1,0,2020
,WimsJa00,CHI,26,WR,13,1,1,2,0,0,2,2.0,0.2,0,2020
,ZaccOl01,ATL,23,WR,11,2,1,0,0,0,0,0.0,0.0,0,2020
,ZylsBr00,CAR,27,WR,16,2,1,1,0,0,1,1.0,0.1,0,2020
,2020,,,,,,,,,,,,,,
