0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
MurrLa00,2TM,32,RB,13,7,171,760,6,44,52,4.4,58.5,1,2022
PachIs00,KAN,23,RB,17,11,170,830,5,37,31,4.9,48.8,4,2022
HurtJa00,PHI,24,QB,15,15,165,760,13,67,42,4.6,50.7,9,2022
FielJu00,CHI,23,QB,15,15,160,1143,8,65,67,7.1,76.2,16,2022
GibsAn00,WAS,24,RB,15,6,149,546,3,32,20,3.7,36.4,1,2022
PattCo00,ATL,31,RB,13,11,144,695,8,39,40,4.8,53.5,1,2022
HerbKh00,CHI,24,RB,13,1,129,731,4,26,63,5.7,56.2,0,2022
WhitRa01,TAM,23,RB,17,8,129,481,1,27,35,3.7,28.3,3,2022
AlleJo02,BUF,26,QB,16,16,124,762,7,55,44,6.1,47.6,13,2022
HuntKa00,CLE,27,RB,17,0,123,468,3,30,24,3.8,27.5,1,2022
JoneDa05,NYG,25,QB,16,16,120,708,7,57,25,5.9,44.3,6,2022
CartMi03,NYJ,23,RB,16,10,114,402,3,14,25,3.5,25.1,2,2022
JackLa00,BAL,25,QB,12,12,112,764,3,47,79,6.8,63.7,5,2022
RobiJa00,2TM,24,RB,11,5,110,425,3,22,50,3.9,38.6,1,2022
DrakKe00,BAL,28,RB,12,5,109,482,4,21,40,4.4,40.2,1,2022
HarrDa06,NWE,25,RB,11,9,106,462,3,23,30,4.4,42.0,0,2022
SwifDA00,DET,23,RB,14,8,99,542,5,21,50,5.5,38.7,1,2022
HillTa00,NOR,32,TE,16,8,96,575,7,34,60,6.0,35.9,2,2022
HubbCh01,CAR,23,RB,15,2,95,466,2,23,35,4.9,31.1,2,2022
PeriSa00,CIN,27,RB,16,2,95,394,2,19,29,4.1,24.6,0,2022
MossZa00,2TM,25,RB,13,3,93,456,1,18,43,4.9,35.1,1,2022
DobbJK00,BAL,24,RB,8,8,92,520,2,26,44,5.7,65.0,0,2022
GordMe00,DEN,29,RB,10,6,90,318,2,15,17,3.5,31.8,5,2022
CookJa01,BUF,23,RB,16,0,89,507,2,25,33,5.7,31.7,1,2022
EdwaGu00,BAL,27,RB,9,4,87,433,3,30,37,5.0,48.1,1,2022
KnigZo00,NYJ,21,RB,7,4,85,300,1,14,48,3.5,42.9,2,2022
MariMa01,ATL,29,QB,13,13,85,438,4,30,30,5.2,33.7,8,2022
HallBr03,NYJ,21,RB,7,2,80,463,4,20,62,5.8,66.1,1,2022
2022,,,,,,,,,,,,,,
BenjEn00,3TM,23,,15,3,77,313,2,14,45,4.1,20.9,0,2022
WarrJa01,PIT,24,RB,16,0,77,379,1,20,31,4.9,23.7,1,2022
HuntCa02,ATL,24,RB,12,0,76,366,1,18,30,4.8,30.5,1,2022
BurrJo01,CIN,26,QB,16,16,75,257,5,28,23,3.4,16.1,6,2022
MattAl01,MIN,24,RB,17,0,74,283,5,21,15,3.8,16.6,0,2022
McKiJe00,KAN,30,RB,17,0,72,291,1,12,30,4.0,17.1,1,2022
EdwaCl00,KAN,23,RB,10,6,71,302,3,15,52,4.3,30.2,0,2022
HendDa00,LAR,25,RB,10,7,70,283,3,14,23,4.0,28.3,0,2022
KellJo01,LAC,25,RB,13,1,69,287,2,16,22,4.2,22.1,0,2022
EdmoCh00,2TM,26,RB,13,3,68,245,2,8,28,3.6,18.8,0,2022
JackDe02,IND,23,RB,16,2,68,236,1,13,17,3.5,14.8,1,2022
SmitGe00,SEA,32,QB,17,17,68,366,1,24,25,5.4,21.5,8,2022
MurrKy00,ARI,25,QB,11,11,67,418,3,23,42,6.2,38.0,8,2022
IngrMa01,NOR,33,RB,10,3,62,233,1,12,14,3.8,23.3,2,2022
LawrTr00,JAX,23,QB,17,17,62,291,5,27,24,4.7,17.1,12,2022
MahoPa00,KAN,27,QB,17,17,61,358,4,25,20,5.9,21.1,5,2022
PennRa00,SEA,26,RB,5,5,57,346,2,15,41,6.1,69.2,1,2022
PickKe00,PIT,24,QB,13,12,55,237,3,23,23,4.3,18.2,4,2022
WilsRu00,DEN,34,QB,15,15,55,277,3,21,19,5.0,18.5,6,2022
BreiMa00,NYG,27,RB,17,1,54,220,1,13,18,4.1,12.9,0,2022
HerbJu00,LAC,24,QB,17,17,54,147,0,17,23,2.7,8.6,8,2022
ScotBo02,PHI,27,RB,15,2,54,217,3,12,21,4.0,14.5,0,2022
GainKe00,PHI,23,RB,17,0,53,240,4,17,13,4.5,14.1,0,2022
BrisJa00,CLE,30,QB,16,11,49,243,2,28,22,5.0,15.2,6,2022
HillJu00,BAL,25,RB,15,0,49,262,0,15,34,5.3,17.5,2,2022
JoneMa05,NWE,24,QB,14,14,47,102,1,12,15,2.2,7.3,5,2022
WillJa10,DEN,22,RB,4,4,47,204,0,9,17,4.3,51.0,1,2022
HastJa02,JAX,26,RB,17,0,46,194,2,7,61,4.2,11.4,0,2022
MitcEl00,SFO,24,RB,5,1,45,279,2,15,37,6.2,55.8,0,2022
PresDa01,DAL,29,QB,12,12,45,182,1,19,25,4.0,15.2,4,2022
2022,,,,,,,,,,,,,,
HuntTy01,BAL,24,QB,6,4,43,137,1,12,14,3.2,22.8,3,2022
MasoJo00,SFO,23,RB,16,0,43,258,1,10,55,6.0,16.1,0,2022
JackJu01,DET,26,RB,16,0,42,170,1,8,27,4.0,10.6,0,2022
OgunDa00,HOU,28,RB,17,4,42,123,1,10,11,2.9,7.2,0,2022
SamuDe00,SFO,26,WR,13,12,42,232,3,8,51,5.5,17.8,3,2022
FreeRo00,HOU,26,RB,4,1,41,117,0,7,11,2.9,29.3,1,2022
DaviMa02,DAL,24,RB,12,0,38,161,1,6,23,4.2,13.4,0,2022
SamuCu00,WAS,26,WR,17,12,38,187,1,11,21,4.9,11.0,1,2022
WillJo07,WAS,28,RB,13,2,37,152,0,6,23,4.1,11.7,0,2022
MichSo00,LAC,27,RB,10,0,36,106,0,8,12,2.9,10.6,0,2022
WatsDe00,CLE,27,QB,6,6,36,175,1,10,21,4.9,29.2,1,2022
DallDe00,SEA,24,RB,15,0,35,186,0,9,27,5.3,12.4,1,2022
WillKy02,LAR,22,RB,10,0,35,139,0,6,17,4.0,13.9,0,2022
DaviTy03,SFO,22,RB,6,0,34,99,0,5,20,2.9,16.5,0,2022
RodgAa00,GNB,39,QB,17,17,34,94,1,9,18,2.8,5.5,8,2022
TannRy00,TEN,34,QB,12,12,34,98,2,12,17,2.9,8.2,3,2022
MillDa02,HOU,24,QB,15,15,32,108,2,8,17,3.4,7.2,8,2022
BrigGa00,NYG,23,RB,17,0,31,141,1,9,25,4.5,8.3,0,2022
CousKi00,MIN,34,QB,17,17,31,97,2,11,19,3.1,5.7,7,2022
MayfBa00,2TM,27,,12,10,31,89,1,7,17,2.9,7.4,9,2022
DaltAn00,NOR,35,QB,14,14,30,54,0,6,14,1.8,3.9,5,2022
JohnTy02,NYJ,25,RB,17,1,30,160,1,5,32,5.3,9.4,0,2022
BradTo00,TAM,45,QB,17,17,29,-1,1,5,2,0.0,-0.1,5,2022
GoffJa00,DET,28,QB,17,17,29,73,0,5,14,2.5,4.3,7,2022
HeinTa00,WAS,29,QB,9,9,28,96,1,6,15,3.4,10.7,7,2022
WilsZa00,NYJ,23,QB,9,9,28,102,1,7,18,3.6,11.3,1,2022
IngrKe01,ARI,23,RB,12,0,27,60,1,4,13,2.2,5.0,0,2022
RyanMa00,IND,37,QB,12,12,27,70,1,9,39,2.6,5.8,15,2022
WillMa12,TEN,23,QB,8,3,27,123,1,8,17,4.6,15.4,3,2022
BurkRe00,HOU,32,RB,16,0,26,80,0,4,9,3.1,5.0,0,2022
2022,,,,,,,,,,,,,,
DarnSa00,CAR,25,QB,6,6,26,106,2,10,26,4.1,17.7,6,2022
HaskHa00,TEN,23,RB,15,1,25,93,0,5,12,3.7,6.2,0,2022
BoonMi00,DEN,27,RB,9,0,24,102,0,6,18,4.3,11.3,0,2022
CarrDe02,LVR,31,QB,15,15,24,102,0,10,20,4.3,6.8,4,2022
EbneTr00,CHI,23,RB,17,0,24,54,0,2,11,2.3,3.2,2,2022
HineNy00,2TM,26,RB,16,5,24,33,1,2,9,1.4,2.1,2,2022
BlacRa00,CAR,23,RB,13,1,23,77,3,7,16,3.3,5.9,1,2022
GaroJi00,SFO,31,QB,11,10,23,33,2,12,6,1.4,3.0,3,2022
ReynCr00,DET,26,RB,9,0,23,102,0,4,21,4.4,11.3,0,2022
TagoTu00,MIA,24,QB,13,13,23,70,0,4,18,3.0,5.4,6,2022
HillDo00,TEN,27,RB,12,1,22,145,0,4,30,6.6,12.1,0,2022
McKiJ.00,WAS,29,RB,8,0,22,95,0,5,33,4.3,11.9,0,2022
PurdBr00,SFO,23,QB,9,5,22,13,1,5,13,0.6,1.4,0,2022
WentCa00,WAS,30,QB,8,7,22,86,1,4,18,3.9,10.8,6,2022
WillAv02,ATL,24,RB,17,3,22,109,1,6,21,5.0,6.4,1,2022
WillDa10,ARI,27,RB,6,0,21,102,1,8,30,4.9,17.0,0,2022
DrisJe00,HOU,29,QB,7,2,20,75,0,4,10,3.8,10.7,0,2022
SnelBe00,PIT,24,RB,17,0,20,90,1,6,16,4.5,5.3,0,2022
HomeTr00,SEA,24,RB,10,1,19,74,0,4,16,3.9,7.4,1,2022
PerkBr02,LAR,26,QB,5,1,19,90,0,6,23,4.7,18.0,0,2022
TrubMi00,PIT,28,QB,7,5,19,38,2,7,9,2.0,5.4,0,2022
BrowMa03,LAR,29,RB,11,0,18,81,1,3,23,4.5,7.4,0,2022
HarrKe01,NWE,22,RB,5,1,18,52,1,3,14,2.9,10.4,0,2022
SpilIs00,LAC,21,RB,6,0,18,41,0,2,11,2.3,6.8,0,2022
BoldBr00,LVR,32,RB,16,0,17,66,0,3,12,3.9,4.1,0,2022
EhliSa00,IND,24,QB,4,3,17,87,0,5,19,5.1,21.8,2,2022
JoneRo01,KAN,25,RB,6,0,17,70,1,4,13,4.1,11.7,0,2022
PattJa01,WAS,23,RB,3,0,17,78,0,3,14,4.6,26.0,0,2022
PoweBr00,LAR,27,WR,17,6,17,80,0,6,20,4.7,4.7,1,2022
VaugKe00,TAM,25,RB,15,0,17,53,0,3,12,3.1,3.5,0,2022
2022,,,,,,,,,,,,,,
WhitZa01,LVR,23,RB,14,0,17,70,0,4,22,4.1,5.0,0,2022
LancTr00,SFO,22,QB,2,2,16,67,0,7,13,4.2,33.5,1,2022
MackMa00,2TM,26,,8,0,16,84,1,4,17,5.3,10.5,0,2022
