0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,GrayCy01,TAM,27,WR,3,0,3,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,2020
,HawkJe00,PIT,27,T,13,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,HoltJ.01,CHI,27,TE,16,1,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,2020
,JoneTa00,BUF,32,RB,13,0,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,MahoPa00,KAN,25,QB,15,15,2,0,0.0%,0,,0,0,0,0.0,0.0,0.0,5,2020
,RadeKe00,PIT,25,TE,1,1,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,ReedJo03,LAC,22,WR,11,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,0,2020
,SchrMa00,CIN,27,TE,14,1,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,SealRi00,KAN,25,WR,2,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,SharTa00,MIN,26,WR,4,0,3,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,StafMa00,DET,32,QB,16,16,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,2,2020
,TaylTa00,CLE,25,WR,3,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,TogiNo00,IND,23,TE,4,0,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,TomlEr01,2TM,28,TE,7,2,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,,2020
,WalkPh00,CAR,25,QB,4,1,1,0,0.0%,0,,0,0,0,0.0,0.0,0.0,1,2020
,2020,,,,,,,,,,,,,,,,,,
